ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO21,errWCO21,COmax,xcomass,vel disp,err vel disp,ellipse a,ellipse b,ellipse R,ellipse errR,xcoalphavir,area,perim
1,2,1315,1341,43,1889,1.788e+04,5.178e+05,232.6,28.44,1.197e+06,60.39,2.003,17.51,25.11,29.18,5.143,103,1.286e+04,728.7
2,2,685,1613,24,8640,7.019e+04,1.286e+06,460.9,34.8,2.971e+06,52.71,1.75,39.66,60.61,77.73,15.95,84.19,2.572e+04,1120
3,2,1119,1357,33,1.188e+04,5.694e+04,1.953e+06,415.1,21.1,4.513e+06,50.4,2.033,75.21,57.23,105.2,24.92,68.57,7.664e+04,2930
4,2,762,1669,13,3328,1.629e+04,3.182e+05,222,27.37,7.354e+05,36.69,1.459,37.05,23.55,44.66,10.58,94.66,1.18e+04,833.2
5,2,1169,1434,30,1.291e+04,4.84e+04,1.732e+06,382.8,19.56,4.001e+06,51.36,1.598,66.23,70.65,109.8,24.79,83.82,6.6e+04,2061
6,2,1338,1463,30,4605,1.342e+04,6.415e+05,201.6,18.06,1.483e+06,42.49,1.622,71.23,49.67,95.07,28.25,134.1,3.762e+04,1720
7,2,1059,444,40,4615,2.468e+04,3.813e+05,273.3,34.65,8.813e+05,25.27,0.8299,33.55,26.6,45.26,6.508,37.98,1.143e+04,845.2
8,2,1276,1478,24,1958,7086,2.648e+05,146.5,17.07,6.118e+05,41.63,1.72,33.56,23.88,42.51,13.66,139.5,1.239e+04,797.4
9,2,1459,621,36,6115,1.215e+04,5.718e+05,191.8,24.88,1.321e+06,28.64,1.158,13.15,18.82,18.53,6.983,13.32,6.228e+04,4429
10,2,1136,407,38,1.364e+04,8.49e+04,1.317e+06,506.9,33.54,3.044e+06,40.18,1.399,64.96,30.75,70.48,9.742,43.3,3.702e+04,1810
11,2,1132,1395,29,1904,6220,1.6e+05,137.2,16.55,3.697e+05,28.59,0.8546,29.73,22.45,38.13,9.387,97.66,8897,707.8
12,2,649,1708,14,6310,5.62e+04,9.548e+05,412.4,25.9,2.206e+06,53.24,2.202,30.84,57.07,65.88,26.64,98.03,1.88e+04,863.1
13,2,1322,1404,33,1234,3541,1.18e+05,103.5,16.22,2.728e+05,21.63,0.689,25.27,32.31,42.98,9.637,85.37,8446,707.8
14,2,1131,469,37,9193,3.917e+04,6.262e+05,344.3,28.81,1.447e+06,30.75,1.109,23.59,41.19,47.51,15.37,35.95,2.466e+04,1168
15,2,811,1685,28,1486,1.028e+04,2.243e+05,176.4,20.46,5.183e+05,46.61,1.59,23.29,15.44,25.29,9.313,122.8,6602,468.9
16,2,1060,403,40,9495,3.636e+04,5.285e+05,331.8,31.17,1.221e+06,26.4,1.13,31.42,49.48,61.62,17.98,40.74,2.284e+04,1628
17,2,1279,1432,20,379,847,2.639e+04,50.63,14.61,6.099e+04,15.38,0.4715,12.93,21.07,20.25,2.952,90.9,2096,232.9
18,2,1281,1221,57,2849,8972,5.413e+05,164.8,14.24,1.251e+06,42.49,1.825,40.24,66.73,82.37,20.08,137.7,2.44e+04,1093
19,2,1348,1341,68,870,4507,1.556e+05,116.8,14.03,3.595e+05,46.81,1.986,22.7,29.45,38.16,8.307,269.4,6903,579.4
20,2,661,1627,39,1.089e+04,3.322e+04,1.022e+06,317.1,20.53,2.363e+06,40.06,1.814,29.17,99.7,85.88,29.39,67.57,6.161e+04,3378
21,2,624,1657,39,2330,1.026e+04,1.815e+05,176.2,21.15,4.194e+05,22.19,0.7813,35.46,30.15,50.15,8.189,68.21,7757,797.4
22,2,1221,1325,41,498,1571,2.139e+05,68.96,12.85,4.943e+05,53.97,2.599,35.87,94.78,93.13,61.62,635.7,2.068e+04,1439
23,2,1378,1401,36,883,2044,7.936e+04,78.66,12.77,1.834e+05,16.39,0.5877,21.11,36.73,41.69,10.79,70.68,6308,492.8
24,2,1284,1129,70,1321,3961,2.804e+05,109.5,12.8,6.479e+05,27.34,1.237,27.36,22.91,36.69,5.425,49.02,2.518e+04,1532
25,2,608,1711,42,7328,3.518e+04,5.615e+05,326.3,21.05,1.298e+06,35.32,1.506,32.48,47.4,61.3,14.77,68.26,2.29e+04,1484
26,2,1413,1491,29,178,364,2.145e+04,33.19,12.23,4.958e+04,14.7,0.5753,20.65,11.48,17.78,8.383,89.7,2397,277.7
27,2,1103,954,38,1071,2510,1.882e+05,87.16,13.62,4.35e+05,30.71,1.316,100.3,30.48,88.13,71.85,221.3,1.967e+04,1278
