ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,1315,1341,43,2,1889,1.788e+04,3.58e+06,232.9,28.44,3.872e+06,3.872e+05,1.04,0.8,47.99,1.578,15.78,24.51,26.68,9.794,6569,495.8,1732,187.3,2.754e+08,3.05e+08,18.38,7.096
2,2,685,1613,24,1,7368,5.104e+04,8.643e+06,393.2,34.8,9.887e+06,9.887e+05,1.1,0.8,37.94,1.266,27.8,47.57,56.42,21.24,1.643e+04,773.5,988.6,100.8,4.647e+07,5.277e+07,9.516,3.76
3,2,1119,1357,33,2,1.142e+04,5.644e+04,1.126e+07,413.5,21.1,1.218e+07,1.218e+06,1.04,0.8,45.98,2.053,61.09,48.26,86.49,27.33,3.657e+04,1825,518.3,52.14,2.333e+07,2.234e+07,17.38,5.967
4,2,762,1669,13,1,2444,1.209e+04,1.785e+06,191.6,27.37,2.042e+06,2.042e+05,1.1,0.8,25.36,1.129,31.49,18.32,34.85,10.63,5449,474.8,535.2,55.34,1.819e+07,1.683e+07,12.71,4.234
5,2,1169,1434,30,2,1.291e+04,4.84e+04,1.09e+07,382.9,19.56,1.179e+07,1.179e+06,1.04,0.8,36.05,1.57,64.91,49.45,90.39,29.6,4.192e+04,1834,459.5,46.22,1.217e+07,1.206e+07,11.53,4.075
6,2,1338,1463,30,2,4266,1.298e+04,2.712e+06,198.5,18.06,2.933e+06,2.933e+05,1.04,0.8,26.7,1.07,66.49,30.76,71.37,18.93,1.471e+04,857.1,183.3,18.44,3.372e+06,2.718e+06,20.09,5.918
7,2,1059,444,40,345,2432,1.052e+04,2.126e+06,178.8,34.65,2.344e+06,2.344e+05,1.06,0.8,21.35,0.797,30.43,20.25,36.3,4.186,5423,501.7,566.1,56.87,1.31e+07,4.816e+06,8.178,1.389
8,2,1276,1478,24,2,1934,7049,1.44e+06,146.5,17.07,1.557e+06,1.557e+05,1.04,0.8,33.28,1.346,18.48,34.39,37,15.06,6540,531.6,362.2,38.14,1.997e+07,2.453e+07,30.47,13.01
9,2,1459,621,36,345,1721,4156,6.2e+05,112.7,24.88,6.835e+05,6.835e+04,1.06,0.8,17.01,0.7491,10.15,15.46,10.21,3.902,3837,507.7,2087,313.8,1.09e+08,1.258e+08,5.008,2.027
10,2,1136,407,38,345,5111,2.72e+04,5.675e+06,287.2,33.54,6.256e+06,6.256e+05,1.06,0.8,24.76,0.9324,41.83,25.73,50.34,17.15,1.14e+04,776.5,785.9,80.2,1.763e+07,1.815e+07,5.713,2.073
