ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
0,1,685,1613,24,1,1.817e+04,1.443e+05,2.214e+07,660.9,34.8,2.533e+07,2.533e+06,1.1,0.8,55.69,2.294,119.3,91.79,169.2,45.11,4.162e+04,2153,281.7,28.2,9.512e+06,7.708e+06,23.99,7.11
1,1,685,1613,24,1,1.361e+04,1.138e+05,1.767e+07,586.9,34.8,2.021e+07,2.021e+06,1.1,0.8,54.3,2.288,29.02,101.7,86.52,60.37,3.06e+04,1523,859.4,88.42,5.394e+07,1.131e+08,14.62,10.38
2,1,685,1613,24,1,1.174e+04,1.008e+05,1.609e+07,552.6,34.8,1.841e+07,1.841e+06,1.1,0.8,51.92,2.074,28.43,101.7,85.6,58.46,2.618e+04,1230,799.6,82.22,4.639e+07,9.522e+07,14.52,10.09
3,1,685,1613,24,1,1.049e+04,7.998e+04,1.366e+07,492.2,34.8,1.563e+07,1.563e+06,1.1,0.8,50.38,2.027,28.25,100.2,84.67,62.58,2.339e+04,1123,693.9,71.73,3.833e+07,8.512e+07,15.93,11.95
4,1,685,1613,24,1,8892,5.973e+04,1.103e+07,425.3,34.8,1.261e+07,1.261e+06,1.1,0.8,46.25,1.988,26.06,95.3,79.07,63.9,1.983e+04,1060,642.2,67.17,3.201e+07,7.772e+07,15.53,12.72
5,1,507,1864,13,1,2032,1.301e+04,2.386e+06,198.7,24.84,2.729e+06,2.729e+05,1.1,0.8,32.18,1.327,16.58,32.55,33.41,12.03,4531,376.3,778.5,81.82,4.445e+07,4.837e+07,14.68,5.618
6,1,762,1669,13,1,4485,2.616e+04,3.742e+06,281.6,27.37,4.28e+06,4.28e+05,1.1,0.8,52.59,2.569,56.29,15.84,45.23,26.99,1.052e+04,863.1,666.1,71.64,7.501e+07,1.347e+08,33.84,20.74
7,2,680,1692,13,1,177,348,5.937e+04,34.32,17.44,6.792e+04,6792,1.1,0.8,10.54,0.4863,6.406,8.346,nan,1.146,394.7,116.5,nan,nan,nan,nan,nan,nan
8,1,1119,1357,33,2,3.457e+04,1.43e+05,4.081e+07,658.1,21.1,4.414e+07,4.414e+06,1.04,0.8,69.39,2.877,141,59.16,147.4,78.18,1.444e+05,5492,646.5,65.03,3.89e+07,6.21e+07,18.62,10.17
9,1,1119,1357,33,2,3.456e+04,1.43e+05,4.02e+07,658.1,21.1,4.349e+07,4.349e+06,1.04,0.8,69.38,2.874,138.3,58.96,145.7,76.89,1.411e+05,5235,651.7,65.55,3.965e+07,6.297e+07,18.68,10.15
10,1,1119,1357,33,2,3.448e+04,1.429e+05,3.953e+07,657.7,21.1,4.276e+07,4.276e+06,1.04,0.8,69.39,2.877,137.5,58.65,144.9,77.56,1.385e+05,5122,648.3,65.23,3.969e+07,6.394e+07,18.9,10.41
11,1,1119,1357,33,2,3.448e+04,1.429e+05,3.96e+07,657.7,21.1,4.284e+07,4.284e+06,1.04,0.8,69.39,2.877,137.8,58.62,145.1,77.29,1.389e+05,5137,648,65.19,3.962e+07,6.354e+07,18.88,10.36
12,2,663,1648,11,1,399,1153,1.568e+05,60.12,16.83,1.793e+05,1.793e+04,1.1,0.8,14.19,0.6924,13.06,7.969,nan,5.257,889.7,152.3,nan,nan,nan,nan,nan,nan
