ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,1312,1346,41,2,0,0,1.892e+05,11.15,1.851,4.919e+06,4.919e+05,25,0.8,47.98,2.189,19.12,29.28,34.2,5.642,5209,415.1,1339,135.3,1.66e+08,8.518e+07,18.53,3.955
2,2,685,1612,24,1,2991,8285,8.942e+05,44.91,8.453,2.452e+07,2.452e+06,26.36,0.8,27.83,0.9699,17.82,35.44,36.86,9.597,1.528e+04,767.5,5745,587.2,2.223e+08,1.758e+08,1.348,0.3876
3,2,1129,1332,32,2,76,76,8.379e+05,11.9,2.654,2.179e+07,2.179e+06,25,0.8,34.87,1.004,43.06,52.59,75.32,26.71,2.774e+04,1547,1222,123.4,3.635e+07,3.889e+07,4.869,1.816
4,2,759,1668,13,1,780,1940,1.964e+05,23.82,5.102,5.384e+06,5.384e+05,26.36,0.8,18.3,0.8157,18.44,17.81,23.61,4.56,4582,358.4,3074,316.5,8.029e+07,4.775e+07,1.701,0.3998
5,2,1206,1475,28,2,87,87,9.04e+05,12.01,2.738,2.35e+07,2.35e+06,25,0.8,30.94,0.9942,62.98,43.89,83.62,25.38,3.621e+04,1908,1070,107.6,2.256e+07,2.071e+07,3.944,1.286
6,2,1353,1477,32,2,100,100,2.744e+05,12.13,2.622,7.135e+06,7.135e+05,25,0.8,20.76,0.7444,55.97,30.12,64.38,19.01,1.31e+04,848.2,548.1,55.32,6.761e+06,6.048e+06,4.505,1.441
7,2,1054,442,41,345,1647,6350,3.301e+05,39.69,8.997,5.829e+06,5.829e+05,16.98,0.8,14.95,0.4387,24.1,15.23,25.69,5.031,4760,471.9,2811,288.3,4.505e+07,2.697e+07,1.141,0.2597
8,2,1281,1480,25,2,262,516,1.683e+05,15.56,3.705,4.376e+06,4.376e+05,25,0.8,32.69,1.779,17.73,29.2,32.52,14.11,5663,474.8,1317,141.9,7.972e+07,1.044e+08,9.196,4.214
9,2,1440,616,34,345,676,1253,7.816e+04,20.26,4.557,1.38e+06,1.38e+05,16.98,0.8,14.16,0.5169,10.03,15.25,9.699,10.02,2939,445,4671,1564,1.777e+08,5.512e+08,1.631,1.696
10,2,1131,407,38,345,3165,1.269e+04,6.928e+05,54.99,8.303,1.223e+07,1.223e+06,16.98,0.8,19.08,0.3896,39.73,18.6,40.53,11.47,9951,734.7,2371,242.3,3.925e+07,3.359e+07,1.397,0.4231
11,2,1122,1419,28,2,0,0,7.73e+04,11.15,1.666,2.01e+06,2.01e+05,25,0.8,19.64,0.9882,18.86,28.8,33.55,10.04,4988,477.8,568.4,58.83,1.203e+07,1.093e+07,7.455,2.468
12,2,665,1709,8,1,1596,4197,4.973e+05,32.91,3.873,1.363e+07,1.363e+06,26.36,0.8,43.88,2.936,43.74,22.4,47.73,3.674,7577,552.5,1905,190.7,1.415e+08,4.033e+07,7.806,1.436
13,2,1332,1426,32,2,0,0,6.879e+04,11.15,2.108,1.789e+06,1.789e+05,25,0.8,13.4,0.571,12.96,26.45,24.41,6.166,3302,334.5,955.3,100,1.295e+07,9.958e+06,2.84,0.8086
14,2,1120,449,37,345,1922,6974,3.498e+05,41.45,8.08,6.177e+06,6.177e+05,16.98,0.8,15.33,0.5514,15.98,37.12,35.46,5.764,5387,474.8,1564,157.9,1.91e+07,9.609e+06,1.563,0.3188
