ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
0,1,685,1612,24,1,5443,1.460e+04,2.294e+06,58.83,8.453,6.291e+07,6.291e+06,26.36,0.8,54.63,2.917,85.73,62.09,117.3,42.16,4.159e+04,2180,1456,146.2,6.826e+07,7.429e+07,6.445,2.501
1,1,685,1612,24,1,4649,1.260e+04,1.888e+06,54.81,8.453,5.176e+07,5.176e+06,26.36,0.8,54.86,2.914,28.84,87.59,79.78,52.79,3.06e+04,1523,2589,266.8,1.799e+08,3.581e+08,5.373,3.641
2,1,685,1612,24,1,4638,1.259e+04,1.737e+06,54.79,8.453,4.762e+07,4.762e+06,26.36,0.8,53.23,2.905,29.2,87.17,80.1,54.78,2.617e+04,1242,2363,243.9,1.539e+08,3.166e+08,5.519,3.862
3,1,685,1612,24,1,4606,1.254e+04,1.501e+06,54.67,8.453,4.116e+07,4.116e+06,26.36,0.8,51.74,2.945,28.69,87.15,79.35,57.56,2.339e+04,1123,2081,215.8,1.293e+08,2.821e+08,5.977,4.429
4,1,685,1612,24,1,4524,1.237e+04,1.241e+06,54.31,8.453,3.402e+07,3.402e+06,26.36,0.8,48.2,3.034,26.26,87.31,75.82,63.43,1.983e+04,1060,1884,198.4,1.063e+08,2.674e+08,5.996,5.109
5,1,508,1904,21,1,55,55,1.246e+05,11.7,2.844,3.416e+06,3.416e+05,26.36,0.8,25.53,1.383,17.47,35.45,36.42,15.45,4497,382.3,819.7,86.83,2.703e+07,3.463e+07,8.051,3.615
6,1,759,1668,13,1,791,1995,3.367e+05,24.09,5.102,9.233e+06,9.233e+05,26.36,0.8,19.81,1.243,24.06,18.32,29.23,6.824,1.049e+04,872,3440,353.7,8.508e+07,6.114e+07,1.439,0.4077
7,2,680,1694,13,1,59,59,8019,11.74,2.882,2.199e+05,2.199e+04,26.36,0.8,9.953,0.3839,7.608,6.432,nan,1.689,394.7,116.5,nan,nan,nan,nan,nan,nan
8,1,1281,1480,25,2,530,784,4.322e+06,17.42,3.705,1.124e+08,1.124e+07,25,0.8,67.17,3.039,154.3,66.56,163.8,90.45,1.444e+05,5528,1334,134.1,6.768e+07,1.125e+08,7.615,4.329
9,1,1281,1480,25,2,530,784,4.257e+06,17.42,3.705,1.107e+08,1.107e+07,25,0.8,67.11,3.03,152.8,66.5,162.9,80.12,1.41e+05,5268,1327,133.2,6.757e+07,1.001e+08,7.678,3.915
10,1,1281,1480,25,2,530,784,4.185e+06,17.42,3.705,1.088e+08,1.088e+07,25,0.8,67.05,3.059,151.8,66.49,162.4,57.54,1.385e+05,5122,1313,131.6,6.7e+07,7.18e+07,7.772,2.948
11,1,1281,1480,25,2,530,784,4.191e+06,17.42,3.705,1.09e+08,1.09e+07,25,0.8,67.04,3.059,152.1,66.49,162.5,58.23,1.388e+05,5170,1313,131.6,6.69e+07,7.247e+07,7.763,2.973
12,2,658,1651,15,1,0,0,1.094e+04,11.15,1.89,3e+05,3e+04,26.36,0.8,14.89,1.068,8.488,6.407,nan,1.911,889.7,152.3,nan,nan,nan,nan,nan,nan
13,1,759,1668,13,1,790,1982,2.853e+05,24.02,5.102,7.823e+06,7.823e+05,26.36,0.8,16.96,1.059,21.93,17.59,26.63,5.149,8335,654,3512,359.4,6.991e+07,4.207e+07,1.135,0.2847
14,1,759,1668,13,1,751,1856,1.582e+05,23.42,5.102,4.337e+06,4.337e+05,26.36,0.8,15.01,0.5319,16.5,15.68,19.32,5.605,3920,340.5,3699,405.8,7.952e+07,6.99e+07,1.163,0.3662
15,1,685,1612,24,1,4099,1.153e+04,9.771e+05,52.52,8.453,2.679e+07,2.679e+06,26.36,0.8,37.92,1.746,23.81,87.62,72.13,65.15,1.684e+04,1078,1639,175.1,6.02e+07,1.633e+08,4.485,4.096
16,1,656,1696,16,1,1158,3156,2.192e+05,29.08,3.752,6.011e+06,6.011e+05,26.36,0.8,33.15,2.059,15.23,33.11,31.98,17.63,3938,391.2,1871,210.6,1.184e+08,1.968e+08,6.773,3.888
17,2,656,1696,16,1,871,2666,1.796e+05,27.08,3.752,4.925e+06,4.925e+05,26.36,0.8,22.31,0.9965,14.53,31,29.66,14.94,3342,358.4,1782,200,5.507e+07,8.355e+07,3.471,1.809
18,2,513,1862,11,1,24,24,3.315e+04,11.39,2.548,9.089e+05,9.089e+04,26.36,0.8,17.49,1.251,7.386,18.32,6.888,30.74,1976,271.8,6098,1.187e+04,4.991e+08,6.682e+09,2.686,12
19,1,1281,1480,25,2,530,784,3.886e+06,17.42,3.705,1.01e+08,1.01e+07,25,0.8,66.24,3.138,149.9,68.79,164.1,56.69,1.268e+05,4760,1194,119.6,5.877e+07,6.144e+07,8.255,3.07
20,2,1277,1481,11,2,0,0,5514,11.15,1.351,1.434e+05,1.434e+04,25,0.8,13.23,0.8044,12.72,5.189,nan,8.06,651.1,140.4,nan,nan,nan,nan,nan,nan
21,1,1281,1480,25,2,530,784,3.592e+06,17.42,3.705,9.339e+07,9.339e+06,25,0.8,66.31,3.129,147.9,66.91,160.7,63.76,1.188e+05,4680,1151,115.4,5.798e+07,6.946e+07,8.766,3.68
22,2,759,1668,13,1,612,1534,9.226e+04,21.79,5.102,2.53e+06,2.53e+05,26.36,0.8,13.64,0.56,10.78,15.33,11.25,3.243,2207,250.9,6357,801.5,1.937e+08,1.693e+08,0.9592,0.303
23,2,639,1751,13,1,0,0,2550,11.15,1.886,6.993e+04,6993,26.36,0.8,7.473,0.511,4.992,7.507,nan,0.3821,338.9,83.62,nan,nan,nan,nan,nan,nan
