ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
0,1,685,1612,24,5452,1.462e+04,2.348e+06,58.85,8.453,5.564e+07,5.564e+06,53.19,2.422,86.27,61.13,116.7,41.53,4.392e+04,2099
1,1,685,1612,24,4304,1.199e+04,1.634e+06,53.51,8.453,3.872e+07,3.872e+06,52.47,2.301,26.21,77.22,70.97,48.62,3.098e+04,1505
2,1,685,1612,24,4295,1.198e+04,1.254e+06,53.5,8.453,2.972e+07,2.972e+06,46.53,2.206,26.21,78.56,71.63,45.07,2.407e+04,1520
3,1,685,1612,24,5098,1.399e+04,1.929e+06,57.63,8.453,4.571e+07,4.571e+06,52.74,2.366,69.53,79.93,119.9,26.09,3.833e+04,1852
4,2,665,1709,8,280,377,3.314e+04,14.51,3.873,7.851e+05,7.851e+04,6.595,0.2189,13.64,16.46,16.83,4.762,1822,253.8
5,2,759,1668,13,794,2002,2.9e+05,24.12,5.102,6.87e+06,6.87e+05,23.98,0.8992,23.18,17.53,27.64,5.218,8538,755.6
6,1,685,1612,24,4186,1.16e+04,9.866e+05,52.68,8.453,2.337e+07,2.337e+06,40.14,1.726,20.31,78.4,62.43,45.12,1.996e+04,1266
7,2,680,1694,13,59,59,8686,11.74,2.882,2.058e+05,2.058e+04,9.02,0.4599,5.762,7.81,nan,0.7902,457.1,107.5
8,1,1281,1480,25,530,784,4.919e+06,17.42,3.705,1.166e+08,1.166e+07,87.31,3.818,145.7,110,205,57.49,1.915e+05,9147
9,1,685,1612,24,4185,1.153e+04,6.633e+05,52.52,8.453,1.572e+07,1.572e+06,37.12,1.701,19.05,79.75,60.87,68.92,1.434e+04,1159
10,2,1302,1484,14,0,0,2.921e+04,11.15,1.687,6.921e+05,6.921e+04,13.8,0.6173,24.02,8.516,15.18,11.69,2950,480.8
11,1,1281,1480,25,530,784,3.987e+06,17.42,3.705,9.447e+07,9.447e+06,66.66,2.9,142.6,65.58,156.2,49.19,1.589e+05,8344
12,2,656,1696,16,1092,3198,1.53e+05,29.24,3.752,3.624e+06,3.624e+05,22.53,1.028,15.68,25.43,27.27,8.102,3365,385.3
13,1,685,1612,24,4126,1.147e+04,6.482e+05,52.39,8.453,1.536e+07,1.536e+06,33.92,1.576,18.78,79.83,60.43,68.11,1.381e+04,1099
14,2,1167,1797,14,2,2,2.472e+04,11.17,2.406,5.857e+05,5.857e+04,6.533,0.2059,26.77,14.76,27.09,8.148,3144,516.7
15,2,471,1953,14,386,627,6.095e+04,16.36,3.664,1.444e+06,1.444e+05,10.42,0.4932,24.12,11.22,20.13,6.394,2945,597.3
16,2,700,1657,15,9,9,8458,11.24,2.483,2.004e+05,2.004e+04,5.1,0.1715,6.66,17.04,nan,23.65,865.1,206.1
17,2,1316,1547,17,0,0,3.402e+04,11.15,1.901,8.06e+05,8.06e+04,9.811,0.3385,33.06,15.94,32.9,8.504,3075,456.9
18,2,1149,1657,17,0,0,1.487e+04,11.15,1.789,3.522e+05,3.522e+04,5.09,0.1731,13.87,9.784,6.966,5.474,1842,328.5
19,1,1281,1480,25,530,784,3.873e+06,17.42,3.705,9.176e+07,9.176e+06,51.59,2.282,154.2,66.21,163.3,69.31,1.562e+05,8296
20,1,1281,1480,25,530,784,3.702e+06,17.42,3.705,8.771e+07,8.771e+06,51.63,2.294,157.1,67,165.9,40.76,1.459e+05,7069
21,1,1281,1480,25,530,784,3.039e+06,17.42,3.705,7.2e+07,7.2e+06,48.99,2.314,154,67.43,164.7,44.35,1.266e+05,7254
22,1,1281,1480,25,530,784,2.699e+06,17.42,3.705,6.395e+07,6.395e+06,48.93,2.323,153.3,68.73,165.9,80.87,1.107e+05,6218
23,1,1281,1480,25,530,784,2.94e+06,17.42,3.705,6.965e+07,6.965e+06,49.02,2.32,153.9,67.86,165.2,55.5,1.215e+05,6785
24,1,1281,1480,25,530,784,1.994e+06,17.42,3.705,4.724e+07,4.724e+06,47.48,2.313,149.8,73.19,169.3,79.04,8.81e+04,6334
25,1,1281,1480,25,530,784,1.789e+06,17.42,3.705,4.238e+07,4.238e+06,47.45,2.307,152.1,74.2,171.8,76.85,7.732e+04,5176
26,1,1281,1480,25,530,784,1.898e+06,17.42,3.705,4.496e+07,4.496e+06,47.48,2.313,150.7,72.12,168.6,81.19,8.381e+04,6033
27,1,1281,1480,25,530,784,1.845e+06,17.42,3.705,4.372e+07,4.372e+06,47.46,2.311,151.5,74.38,171.7,74.01,8.087e+04,5597
28,1,1281,1480,25,530,784,1.682e+06,17.42,3.705,3.985e+07,3.985e+06,47.45,2.308,152,75.73,173.5,64.14,7.414e+04,5241
29,1,1281,1480,25,430,684,1.293e+06,16.75,3.705,3.062e+07,3.062e+06,42.51,2.124,50.63,149.7,140.4,90.74,5.779e+04,4196
30,2,1280,1427,20,0,0,1.958e+04,11.15,1.997,4.64e+05,4.64e+04,8.949,0.449,8.98,26.85,18.08,21.37,1748,295.7
31,1,1281,1480,25,430,684,1.148e+06,16.75,3.705,2.719e+07,2.719e+06,42.32,2.084,52.27,153.6,144.6,78.21,5.328e+04,4047
32,1,1281,1480,25,530,784,1.608e+06,17.42,3.705,3.81e+07,3.81e+06,42.49,2.122,153.3,73.64,171.8,81.59,7.055e+04,4958
33,1,1281,1480,25,430,684,1.041e+06,16.75,3.705,2.465e+07,2.465e+06,42.24,2.073,54.22,155.4,148.2,58.53,4.831e+04,3787
34,1,1281,1480,25,430,684,1.11e+06,16.75,3.705,2.629e+07,2.629e+06,42.24,2.074,52.4,154.2,145.1,56.03,5.171e+04,3975
35,1,1281,1480,25,430,684,8.531e+05,16.75,3.705,2.021e+07,2.021e+06,40.53,2,60.35,160.7,159.1,38.49,4.163e+04,3369
36,1,1281,1480,25,354,608,2.381e+05,16.22,3.705,5.642e+06,5.642e+05,23.75,1.014,65.8,15.35,48.56,21.39,1.049e+04,967.6
37,2,1281,1480,25,262,516,1.055e+05,15.56,3.705,2.5e+06,2.5e+05,15.14,0.6122,16.97,10.96,13.47,5.788,4491,477.8
38,1,685,1612,24,2996,8226,4.658e+05,44.76,8.453,1.104e+07,1.104e+06,17.28,0.6217,16.72,19.97,23.92,1.894,9969,800.4
39,2,685,1612,24,2871,8082,4.334e+05,44.39,8.453,1.027e+07,1.027e+06,15.82,0.5624,16.61,19.79,23.63,2.3,8803,674.9
40,2,686,1641,20,76,76,1.043e+04,11.9,2.773,2.471e+05,2.471e+04,nan,nan,16.57,8.211,7.019,21.72,858.4,203.1
41,2,1266,1542,25,0,0,7.778e+04,11.15,2.094,1.843e+06,1.843e+05,10.14,0.4006,38.06,22.92,44.66,13.13,6633,731.7
42,2,1231,1605,26,0,0,4.105e+04,11.15,1.809,9.725e+05,9.725e+04,10.49,0.477,29.01,23.63,38.74,14.82,4422,552.5
43,2,631,1712,27,440,624,9.861e+04,16.34,3.728,2.336e+06,2.336e+05,13.05,0.4914,15.58,23.07,25.29,9.405,4422,692.9
44,2,1206,1475,28,92,92,9.04e+04,12.05,2.738,2.142e+06,2.142e+05,14.06,0.6667,10.59,22.08,17.54,7.614,4696,513.7
46,1,1129,1332,32,76,76,4.719e+05,11.9,2.654,1.118e+07,1.118e+06,24.54,1.152,32.22,93.98,87.7,62.27,2.513e+04,2380
47,1,1129,1332,32,76,76,5.597e+05,11.9,2.654,1.326e+07,1.326e+06,28.1,1.329,33.36,91.93,88.29,53.76,2.936e+04,2518
48,1,1178,1447,31,0,0,1.103e+05,11.15,2.232,2.613e+06,2.613e+05,21.12,1.01,20.19,28.86,35.07,14.67,6640,904.9
49,1,1440,616,34,2672,4255,7.336e+05,33.11,4.557,1.738e+07,1.738e+06,19.8,0.7909,33.73,94.46,90.05,78.62,3.553e+04,3136
50,1,1440,616,34,2690,4273,7.85e+05,33.18,4.557,1.86e+07,1.86e+06,19.76,0.792,33.73,95.57,90.59,61.8,3.895e+04,3521
51,1,1440,616,34,1289,1996,3.741e+05,24.09,4.557,8.862e+06,8.862e+05,19.97,0.7964,14.7,19.27,20.94,8.995,1.849e+04,1762
52,1,1440,616,34,1289,1996,3.243e+05,24.09,4.557,7.683e+06,7.683e+05,19.85,0.7755,19.88,17.09,24.24,8.292,1.465e+04,1269
53,2,1155,1427,32,0,0,1.31e+04,11.15,2.161,3.103e+05,3.103e+04,9.084,0.4725,6.039,12.47,nan,4.55,889.7,176.2
54,2,717,1641,29,144,144,1.146e+04,12.54,3.042,2.715e+05,2.715e+04,5.183,0.1981,19.88,14.16,20.83,11.1,978.8,232.9
55,2,1312,1346,41,0,0,1.262e+05,11.15,1.851,2.991e+06,2.991e+05,40.08,1.873,16.79,19.79,23.83,3.744,7554,743.6
56,2,1262,1394,33,0,0,1.15e+04,11.15,1.672,2.725e+05,2.725e+04,12.27,0.5841,7.919,9.373,nan,2.504,1253,206.1
57,1,1178,1447,31,0,0,7.34e+04,11.15,2.232,1.739e+06,1.739e+05,17.63,0.8419,11.98,31.77,26.37,11.5,4649,704.8
58,2,1178,1447,31,0,0,4.213e+04,11.15,2.232,9.982e+05,9.982e+04,14.02,0.653,10.66,20.24,16.12,12.93,2571,421.1
59,2,1353,1477,32,100,100,1.474e+05,12.13,2.622,3.492e+06,3.492e+05,15.68,0.717,16.14,48.2,41.78,18.67,7860,782.4
60,2,1592,1620,32,0,0,2.934e+04,11.15,1.817,6.95e+05,6.95e+04,10.1,0.3918,18.94,16.17,22.34,6.721,2852,319.6
61,2,1542,1657,34,0,0,5.104e+04,11.15,2.15,1.209e+06,1.209e+05,13.7,0.6068,22.87,39.19,45.37,21.22,5534,785.4
62,1,1354,449,38,1373,1824,5.728e+05,23.26,4.406,1.357e+07,1.357e+06,18.85,0.8161,95.55,21.92,72.28,25.65,2.851e+04,2670
63,1,1440,616,34,1216,1889,1.427e+05,23.58,4.557,3.381e+06,3.381e+05,15.21,0.634,10.87,16.59,12.9,5.447,6408,728.7
64,1,1129,1332,32,76,76,2.051e+05,11.9,2.654,4.86e+06,4.86e+05,19.51,0.9604,32.28,49.94,62.85,13.02,1.223e+04,1218
65,2,1129,1332,32,76,76,4.681e+04,11.9,2.654,1.109e+06,1.109e+05,10.43,0.473,15.92,13.53,16.1,7.865,2294,289.7
66,2,1383,1385,32,0,0,1.511e+04,11.15,2.312,3.58e+05,3.58e+04,11.9,0.5145,9.924,15.25,9.48,9.645,1244,221
67,2,1219,1417,30,0,0,7099,11.15,1.842,1.682e+05,1.682e+04,nan,nan,9.054,7.924,nan,1.792,883,215
68,1,1054,442,41,1.31e+04,4.523e+04,4.223e+06,102.3,8.997,1.001e+08,1.001e+07,41.1,1.68,67.87,60.76,102.9,33.21,7.435e+04,3590
69,1,1354,449,38,784,987,1.728e+05,18.7,4.406,4.094e+06,4.094e+05,15.97,0.8073,13.69,48.76,38.12,32.61,8917,982.5
70,1,1054,442,41,1.304e+04,4.513e+04,3.321e+06,102.2,8.997,7.868e+07,7.868e+06,32.44,1.029,71.38,48.5,94.01,34.94,5.955e+04,3581
71,1,1054,442,41,1.281e+04,4.486e+04,2.813e+06,101.8,8.997,6.666e+07,6.666e+06,32.17,0.9859,71.54,46.68,92.27,29.08,4.797e+04,2942
72,2,1277,471,33,86,86,2.056e+04,12,2.897,4.87e+05,4.87e+04,7.029,0.3092,19.13,14.1,20.06,8.206,1603,427.1
73,2,1440,616,34,915,1588,8.477e+04,22.07,4.557,2.009e+06,2.009e+05,13.69,0.5873,20.97,13.01,20.26,7.989,3356,492.8
74,2,1410,642,32,73,107,1.367e+04,12.2,2.93,3.238e+05,3.238e+04,5.101,0.1783,10.31,13.22,7.074,6.875,782.6,146.3
75,2,1399,685,32,0,0,9024,11.15,2.131,2.138e+05,2.138e+04,6.791,0.2595,7.344,23.39,11.99,20.5,1041,221
76,1,1145,1318,38,0,0,1.438e+05,11.15,2.316,3.408e+06,3.408e+05,17.53,0.8155,33.55,45.84,61.26,22.28,9773,1054
77,2,1176,1371,35,0,0,1.094e+05,11.15,2.129,2.592e+06,2.592e+05,14.08,0.6587,33.96,29.65,48.48,15.09,7815,979.6
78,2,1179,1414,32,0,0,2.157e+04,11.15,2.128,5.111e+05,5.111e+04,14.23,0.6966,22.23,12.18,20.13,13.83,1650,298.6
79,2,575,1729,32,61,61,9419,11.76,3.164,2.232e+05,2.232e+04,4.765,0.1096,16.93,9.817,11.36,11.62,972.2,170.2
