ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex (K)
1,2,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,2372,2.41E+04,3.20E+06,270.1,28.44041,3.62E+06,3.62E+05,1.04,0.8,46.55,1.488,15.39,22.69,24.75,2.454,5289,412.1,1882,189.6,3.04E+08,9.73E+07,17.15,2.653,2.49E+06,17.03
2,2,685,1613,24,12h01m54.4395s -18d53m11.466s,1,5434,3.63E+04,6.46E+06,331.9,34.800674,7.73E+06,7.73E+05,1.1,0.8,33.57,1.159,26.2,47.73,54.72,7.966,1.21E+04,749.6,821.8,82.44,3.12E+07,1.41E+07,9.238,1.752,1.11E+07,21.17
3,2,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,1.06E+04,6.48E+04,7.36E+06,443,21.104567,8.33E+06,8.33E+05,1.04,0.8,45.62,1.991,66.46,42.76,84.85,16.38,2.35E+04,1338,368.1,36.9,1.66E+07,9.88E+06,24.56,5.753,8.65E+06,15.24
4,2,762,1669,13,12h01m54.3843s -18d53m11.62s,1,2082,1.01E+04,1.56E+06,175.1,27.374504,1.87E+06,1.87E+05,1.1,0.8,20.29,0.8536,30.14,17.6,33.04,12.34,4642,361.4,543.5,57.39,1.25E+07,1.41E+07,8.449,3.343,2.79E+06,19.04
5,2,1169,1434,30,12h01m54.6161s -18d53m11.382s,2,8572,5.12E+04,5.48E+06,393.8,19.561745,6.20E+06,6.20E+05,1.04,0.8,34.13,1.471,43.88,32.42,58.72,16.36,1.91E+04,103,572.2,57.8,2.09E+07,1.77E+07,12.78,3.941,6.90E+06,14.63
6,2,1338,1463,30,12h01m54.5875s -18d53m11.382s,2,4404,1.73E+04,1.86E+06,228.8,18.056362,2.11E+06,2.11E+05,1.04,0.8,21.85,0.8845,36.73,34.25,54.9,12.1,982,648.1,222.5,22.41,3.56E+06,2.40E+06,14.41,3.677,2.89E+06,14.71
7,2,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,2163,8801,1.86E+06,163.6,34.64527,2.15E+06,2.15E+05,1.06,0.8,16.89,0.6896,28.95,18.69,33.46,10.76,4823,468.9,610.1,63.5,9.59E+06,9.33E+06,5.155,1.786,5.42E+06,24.26
8,2,1276,1478,24,12h01m54.5727s -18d53m11.466s,2,2575,1.11E+04,1.23E+06,183.3,17.067831,1.39E+06,1.39E+05,1.04,0.8,30.18,1.263,20.65,23.8,31.43,6.916,5742,507.7,446.4,45.61,2.38E+07,1.60E+07,23.93,6.121,2.19E+06,14.97
9,2,1459,621,36,12h01m55.4181s -18d53m11.2979s,345,1351,3182,5.05E+05,98.77,24.88165,5.82E+05,5.82E+04,1.06,0.8,15.32,0.6664,9.538,14.78,7.888,12.39,3012,442,2978,1803,1.63E+08,7.70E+08,3.685,5.806,1.14E+06,19.42
10,2,1136,407,38,12h01m55.6292s -18d53m11.2699s,345,4521,2.22E+04,4.87E+06,259.6,33.54395,5.62E+06,5.62E+05,1.06,0.8,24.86,0.9492,38.96,23.77,46.22,15.96,1.01E+04,746.6,836.7,85.74,2.06E+07,2.15E+07,5.89,2.164,1.14E+07,24.96
11,2,1132,1395,29,12h01m54.6546s -18d53m11.396s,2,2169,8205,9.04E+05,158,16.552805,1.02E+06,1.02E+05,1.04,0.8,20.23,0.8236,20.05,25.77,32.48,6.75,4836,456.9,308.7,31.43,7.16E+06,4.56E+06,15.05,3.68,9.58E+05,14.93
12,2,649,1708,14,12h01m54.3458s -18d53m11.606s,1,2822,2.21E+04,3.85E+06,258.9,25.897938,4.61E+06,4.61E+05,1.1,0.8,33.54,1.34,20.73,45.05,46.44,4.07,6292,459.9,680.6,68.16,3.04E+07,8.88E+06,13.12,2.035,5.80E+06,20.87
13,2,1322,1404,33,12h01m54.6457s -18d53m11.34s,2,153,5301,5.84E+05,127.2,16.218248,6.61E+05,6.61E+04,1.04,0.8,13.36,0.5141,16.9,28.16,30.78,12.45,3411,337.5,222.2,23.89,2.37E+06,2.90E+06,9.622,4.078,9.00E+05,14.93
14,2,663,1646,28,12h01m54.407s -18d53m11.41s,1,1938,8189,1.43E+06,157.8,24.43182,1.71E+06,1.71E+05,1.1,0.8,16.88,0.7285,23.33,35.26,43.17,8.54,4321,421.1,291.8,29.46,3.55E+06,2.16E+06,8.337,1.983,2.46E+06,20.87
15,2,1131,469,37,12h01m55.568s -18d53m11.2839s,345,2511,1.04E+04,2.13E+06,177.9,28.807247,2.46E+06,2.46E+05,1.06,0.8,16.75,0.6635,19.77,43.77,44.45,19.85,5599,516.7,396.4,41.4,4.61E+06,6.20E+06,5.868,2.725,5.60E+06,23.67
16,2,811,1685,28,12h01m54.3685s -18d53m11.41s,1,1086,6992,9.80E+05,145.9,20.464458,1.17E+06,1.17E+05,1.1,0.8,32.21,1.337,17.33,11.61,14.89,1.523,2421,274.8,1684,172,2.16E+08,7.21E+07,15.25,2.523,4.47E+05,17.72
17,2,1060,403,40,12h01m55.6331s -18d53m11.2419s,345,2691,8549,1.90E+06,161.2,31.16577,2.19E+06,2.19E+05,1.06,0.8,13.41,0.5188,18.1,43.12,41.86,25.22,6,570.4,397.5,43.29,3.14E+06,5.70E+06,3.983,2.452,5.37E+06,25.22
