ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,1312,1346,41,12h01m54.703s -18d53m11.2286s,2,,,1.92E+05,11.15,1.8513101,5.22E+06,5.22E+05,25,0.8,48.05,2.199,19.17,29.22,34.2,5.638,5284,415.1,1420,143.5,1.77E+08,9.06E+07,17.52,3.74
2,2,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,2931,9877,7.38E+05,48.8,8.4534025,2.12E+07,2.12E+06,26.36363636,0.8,29.22,1.075,17.82,35.7,37.02,8.415,1.21E+04,749.6,4914,499.6,2.09E+08,1.45E+08,1.73,0.4481
3,2,1129,1332,32,12h01m54.7168s -18d53m11.3546s,2,325,353,6.85E+05,14.32,2.6542044,1.86E+07,1.86E+06,25,0.8,34.23,0.9592,66.42,42.64,84.7,28.25,2.35E+04,1359,827.3,83.3,2.11E+07,2.12E+07,6.165,2.174
4,2,759,1668,13,12h01m54.3853s -18d53m11.6206s,1,994,302,1.99E+05,28.54,5.1022654,5.72E+06,5.72E+05,26.36363636,0.8,18.35,0.8224,17.67,18.28,23.31,4.128,4642,361.4,3350,343.6,8.92E+07,4.89E+07,1.59,0.3534
5,2,1178,1447,31,12h01m54.6033s -18d53m11.3686s,2,142,142,5.52E+05,12.52,2.2318647,1.50E+07,1.50E+06,25,0.8,26.19,0.5229,47.23,4,68.43,9.537,1.91E+04,103,1020,102.2,1.88E+07,8.14E+06,3.624,0.6382
6,2,1353,1477,32,12h01m54.5738s -18d53m11.3546s,2,454,469,2.28E+05,15.21,2.6221373,6.20E+06,6.20E+05,25,0.8,21.24,0.8997,35.69,34.28,54.06,12.25,982,648.1,675.5,68.08,1.04E+07,7.19E+06,4.556,1.192
7,2,1054,442,41,12h01m55.5947s -18d53m11.2285s,345,185,7339,3.35E+05,42.44,8.997068,6.19E+06,6.19E+05,16.98113208,0.8,14.94,0.4355,24,15.7,26.18,4.681,4823,468.9,2873,293.2,4.51E+07,2.48E+07,1.094,0.233
8,2,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,646,1368,1.69E+05,20.9,3.7053874,4.61E+06,4.61E+05,25,0.8,30.29,1.816,21.73,16.03,24.71,5.579,5742,507.7,2403,249.2,1.64E+08,1.14E+08,5.698,1.564
9,2,1440,616,34,12h01m55.4231s -18d53m11.3265s,345,851,1793,8.04E+04,23.11,4.557012,1.49E+06,1.49E+05,16.98113208,0.8,14.19,0.5199,10.07,15.64,10.31,9.795,3012,442,4450,1309,1.60E+08,4.57E+08,1.618,1.551
10,2,1131,407,38,12h01m55.6292s -18d53m11.2705s,345,3743,1.55E+04,7.05E+05,60.63,8.302967,1.30E+07,1.30E+06,16.98113208,0.8,19.09,0.3862,39.93,18.77,40.87,15.87,1.01E+04,746.6,2483,258.2,4.08E+07,4.77E+07,1.324,0.5335
11,2,1122,1419,28,12h01m54.631s -18d53m11.4106s,2,,,7.74E+04,11.15,1.6664059,2.11E+06,2.11E+05,25,0.8,19.6,0.9855,18.61,27.59,32.34,8.904,4836,456.9,640.4,66.1,1.40E+07,1.18E+07,6.839,2.118
12,2,665,1709,8,12h01m54.3449s -18d53m11.6906s,1,1713,6309,4.10E+05,39.57,3.8730276,1.18E+07,1.18E+06,26.36363636,0.8,33.24,1.851,38.11,21.6,43.19,14.67,6292,459.9,2007,206.2,9.46E+07,9.74E+07,4.701,1.745
13,2,1332,1426,32,12h01m54.6241s -18d53m11.3546s,2,24,24,7.10E+04,11.39,2.1080012,1.93E+06,1.93E+05,25,0.8,13.42,0.5734,13.07,26.74,24.77,13.42,3405,337.5,1002,119.8,1.34E+07,2.19E+07,2.677,1.492
14,2,662,1643,28,12h01m54.41s -18d53m11.4106s,1,1359,3099,1.73E+05,28.85,3.6646109,4.96E+06,4.96E+05,26.36363636,0.8,17.35,0.8929,19.75,37.21,40.39,12.95,4321,421.1,967.9,99.5,1.33E+07,1.29E+07,2.838,0.9967
15,2,1120,449,37,12h01m55.5878s -18d53m11.2845s,345,2194,8425,3.57E+05,45.27,8.079607,6.59E+06,6.59E+05,16.98113208,0.8,15.33,0.5514,15.85,36.56,34.95,6.615,5599,516.7,1717,174,2.13E+07,1.24E+07,1.443,0.326
