ID,RA,DEC,vctr,r,r err,fwhm,fwhm err,lum,lum err,mlum,mlum err,mvir,vel disp,vel disp err,area
B1,0 19 58.6,59 18 40.3,-366.6,11.8,6.1,4,1,13400,2800,63095.73445,1.258925412,39810.71706,1.6985138,0.4246284501,437.4353611
B2,0 20 00.9,59 19 02.2,-367.4,22.8,9.6,5.7,2,9600,7000,39810.71706,1.584893192,125892.5412,2.420382166,0.8492569002,1633.125525
B4,0 20 12.0,59 20 02.5,-342.7,29.4,7.2,5.6,1,20200,2700,79432.82347,1.258925412,158489.3192,2.377919321,0.4246284501,2715.467026
B5,0 20 17.3,59 18 42.0,-334,26.2,5.5,6.2,1.3,25300,4700,100000,1.258925412,199526.2315,2.632696391,0.5520169851,2156.514861
B6,0 20 19.6,59 20 48.0,-338.2,17.7,3.9,6,1.2,27500,5300,125892.5412,1.258925412,125892.5412,2.547770701,0.5095541401,984.2295624
B8,0 20 21.7,59 17 09.6,-339.5,24.1,2.6,6.1,0.6,69500,3200,316227.766,1,158489.3192,2.590233546,0.2547770701,1824.668429
B7,0 20 22.1,59 20 04.9,-329.3,18.3,6.3,4,1.1,18000,5400,79432.82347,1.258925412,50118.72336,1.6985138,0.4670912951,1052.087964
B9a,0 20 22.3,59 21 05.6,-330.5,15.9,4.6,3,0.8,14100,3200,63095.73445,1.258925412,25118.86432,1.27388535,0.3397027601,794.2260388
B9b,0 20 22.5,59 21 21.4,-328.7,24.5,6.3,4.3,1.1,18700,5300,79432.82347,1.584893192,79432.82347,1.825902335,0.4670912951,1885.74099
B9c,0 20 23.7,59 21 17.9,-333.8,27.2,7.7,5.5,2.5,22400,5800,158489.3192,1.995262315,158489.3192,2.335456476,1.061571125,2324.275909
B11a,0 20 27.2,59 16 53.8,-334,22.1,7.3,10.4,2.5,76400,24100,316227.766,1.258925412,501187.2336,4.416135881,1.061571125,1534.385268
B11b,0 20 27.3,59 17 05.0,-331.1,14.9,3,7.4,1.1,52500,8500,251188.6432,1.258925412,158489.3192,3.142250531,0.4670912951,697.464985
B11c,0 20 28.1,59 16 57.0,-325.1,17.8,4.5,11.2,2.2,64300,12000,251188.6432,1.258925412,398107.1706,4.755838641,0.9341825902,995.3822164
B11d,0 20 29.0,59 17 04.6,-327.4,18.4,3.9,7.9,1.5,25600,4800,100000,1.258925412,199526.2315,3.354564756,0.6369426752,1063.617609
