ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C1,71.709,-67.306,252.6,10.6,4.8,109,6.3,0.61,1.2,0.5095930802,0.4,0.1698643601,830,47,4747.6,9400,1100,76,1.03
C2,71.721,-67.226,249.4,11.2,7.8,163,15.2,0.38,1.33,0.5647989972,0.21,0.08917878903,2760,15,15787.2,28100,630,273,1.4
C3,71.757,-67.181,247.9,10.8,6.7,136,13.1,0.57,1.2,0.5095930802,0.32,0.135891488,1600,45,9152,19500,860,95,1.3
C4,71.791,-67.157,265.4,5.9,5.3,126,5.9,1.39,0.47,0.1995906231,1.16,0.4926066442,360,114,2059.2,1400,2690,32,0.74
C5,71.798,-67.116,261.9,14.5,5.8,97,13.2,0.4,0.59,0.2505499311,0.36,0.1528779241,1050,25,6006,4800,950,79,1.44
C6,71.819,-67.218,250.4,14,5.8,145,13,0.58,1.73,0.7346633572,0.33,0.140138097,2100,61,12012,40600,900,100,1.05
C7,71.845,-69.165,240,17.8,7.5,112,19.2,0.14,0.8,0.3397287201,0.13,0.05520591702,5290,7,30258.8,12900,290,410,2.78
C8,71.859,-67.237,255.9,14.2,6.9,169,16,0.64,1.66,0.7049370942,0.47,0.1995906231,3710,82,21221.2,46000,1070,112,1.45
C9,71.861,-67.195,259,9.3,4.4,172,,,1.55,0.6582243952,0.27,0.114658443,3740,31,21392.8,0,0,141,1.91
C10,71.906,-67.209,256.9,7.6,5.7,42,8.6,1.17,1.19,0.5053464712,0.46,0.1953440141,2830,51,16187.6,12600,1580,80,1.85
C11,71.945,-69.207,238.6,12.7,6,9,12.9,0.4,1.07,0.4543871632,0.39,0.1656177511,1760,44,10067.2,15400,940,83,1.77
C12,71.971,-67.214,265,15.7,5.3,146,12,0.24,1.08,0.4586337722,0.15,0.06369913502,3450,10,19734,14500,410,325,2.09
C13,71.982,-67.351,256.9,14.3,8.1,20,18.1,0.52,1.72,0.7304167482,0.71,0.3015092391,2680,44,15329.6,55600,1730,121,1.22
C14,72.03,-67.325,258.3,7.3,5.8,116,8.5,0.82,1.14,0.4841134262,0.48,0.2038372321,1130,45,6463.6,11500,1410,68,1.5
C15,72.045,-67.291,257.8,5.4,2.4,99,,,1,0.4246609001,0.78,0.3312355021,630,49,3603.6,0,0,41,1.24
C16,72.221,-69.165,239.8,10.7,6.5,142,12.6,0.54,1.43,0.6072650872,0.26,0.110411834,5350,22,30602,26900,850,182,2.74
C17,72.236,-69.19,238.8,7.1,2.3,31,,,1.1,0.4671269902,0.78,0.3312355021,2800,135,16016,0,0,26,1.77
C18,72.237,-68.373,250.9,15.9,8.9,162,20.6,0.26,2.11,0.8960344993,0.14,0.05945252602,5870,17,33576.4,95400,390,401,2.13
C19,72.249,-68.609,247.2,13.2,6.8,48,14.9,1.11,1.43,0.6072650872,0.83,0.3524685471,4570,91,26140.4,31500,1940,36,2.62
C20,72.253,-69.209,240.6,9.6,7.5,180,13.4,0.44,0.53,0.2250702771,0.53,0.2250702771,2250,43,12870,4000,1070,82,2.33
C21,72.285,-68.097,253.1,4.8,4.7,169,2.1,1.81,0.79,0.3354821111,0.43,0.1826041871,360,49,2059.2,1400,2010,35,1.25
C22,72.306,-69.137,240.5,10.1,7.3,78,13.7,0.47,0.93,0.3949346371,0.39,0.1656177511,1470,24,8408.4,12200,980,98,1.87
C23,72.311,-68.431,247.7,16.5,11.6,152,24.8,0.19,1.88,0.7983624923,0.17,0.07219235302,8960,17,51251.2,91100,450,346,2.51
C24,72.313,-68.586,248.2,12.3,8.8,2,17.7,0.82,0.72,0.3057558481,0.93,0.3949346371,4210,102,24081.2,9500,1970,43,2.44
C25,72.334,-68.552,250.6,8.5,5.9,71,9.8,0.93,1.07,0.4543871632,0.37,0.1571245331,1230,32,7035.6,11600,1240,95,1.2
