ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco.value, errlumco,COmax.value,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,239,264,44,345,312,1572,1.01e+06,79.85,11.106832,1.099e+06,1.099e+05,1,0.8,32.53,1.417,25.77,15.95,24.64,12.23,2.557e+04,3238,576.2,67.33,4.56e+07,6.816e+07,27.48,14.12
2,2,221,237,36,345,125,632,3.74e+05,77.66,10.991272,4.069e+05,4.069e+04,1,0.8,16.59,0.3735,19.51,12.85,13.54,10.12,575,541.1,707,136.8,2.647e+07,5.941e+07,10.6,8.005
3,2,227,237,42,345,172,928,4.577e+05,78.35,10.828984,4.98e+05,4.98e+04,1,0.8,16.45,0.3237,13.51,22.59,18.1,6.707,6073,532.3,483.9,56.79,1.333e+07,1.489e+07,11.39,4.395
4,2,193,217,36,345,352,2711,1.218e+06,82.42,9.860076,1.325e+06,1.325e+05,1,0.8,30.55,0.7799,22.18,42.22,44.67,14.31,1.199e+04,916.3,211.3,21.62,8.133e+06,7.868e+06,36.44,12.37
5,2,195,226,40,345,237,1175,5.116e+05,78.93,9.187742,5.567e+05,5.567e+04,1,0.8,20.41,0.5353,23.37,33.06,39.52,11.72,6397,549.8,113.5,11.63,2.202e+06,1.975e+06,34.24,10.87
6,2,242,203,38,345,414,2028,9.651e+05,80.88,9.029323,1.05e+06,1.05e+05,1,0.8,22.37,0.6058,33.19,19.41,34.98,6.415,1.297e+04,863.9,273.2,27.65,7.196e+06,4.043e+06,19.3,4.165
7,2,269,252,50,345,159,717,3.563e+05,77.86,8.844007,3.877e+05,3.877e+04,1,0.8,16.37,0.7065,13.49,26.68,21.73,11.12,5464,497.4,261.3,32,5.939e+06,9.154e+06,17.4,9.2
8,2,231,274,37,345,498,2639,1.235e+06,82.26,8.839772,1.344e+06,1.344e+05,1,0.8,20.46,0.5287,56.59,19.13,48.8,25.7,1.691e+04,103,179.7,18.89,2.84e+06,4.5e+06,17.61,9.484
9,2,223,212,37,345,159,666,3.563e+05,77.74,8.584365,3.877e+05,3.877e+04,1,0.8,18.48,0.801,40.25,13.79,31.44,20.09,5102,410.2,124.9,14.62,2.498e+06,4.801e+06,32.08,20.93
10,2,255,244,43,345,216,926,4.776e+05,78.35,8.343871,5.196e+05,5.196e+04,1,0.8,20.83,0.723,37.85,16.12,33.66,22.15,7558,567.2,146,16.93,3.466e+06,6.855e+06,32.54,21.78
11,2,190,209,39,345,2,1384,6.148e+05,79.41,8.298391,6.689e+05,6.689e+04,1,0.8,25.2,0.5124,25.73,20.57,30.32,7.292,6111,427.6,231.6,23.81,8.938e+06,6.521e+06,33.34,8.788
12,2,262,248,50,345,187,915,4.39e+05,78.32,7.8414087,4.777e+05,4.777e+04,1,0.8,20.26,0.5057,23.72,16.67,23.79,8.892,5845,445.1,268.7,29.7,8.539e+06,9.622e+06,23.68,9.237
13,2,212,214,37,345,138,531,2.931e+05,77.42,7.607109,3.189e+05,3.189e+04,1,0.8,15.55,0.468,28.57,15,25.55,7.824,5559,488.7,155.4,16.52,2.708e+06,2.508e+06,22.43,7.351
14,2,217,245,43,345,232,913,4.285e+05,78.32,7.2635517,4.663e+05,4.663e+04,1,0.8,17.62,0.5665,44.8,17.3,39.61,16.97,653,453.8,94.59,9.944,1.365e+06,1.762e+06,30.54,13.57
15,2,256,211,40,345,147,502,2.871e+05,77.35,6.8001466,3.123e+05,3.124e+04,1,0.8,18.37,0.837,30.48,19.75,33.34,14.47,5864,506.1,89.45,9.603,1.668e+06,2.184e+06,41.73,18.97
16,2,237,250,40,345,83,331,1.883e+05,76.95,6.6320047,2.049e+05,2.049e+04,1,0.8,16.22,0.437,13.38,18.59,13.35,7.803,3636,375.2,366.2,60.47,1.33e+07,2.338e+07,19.86,11.83
17,2,192,189,39,345,474,26,1.194e+06,82.17,6.99674,1.299e+06,1.299e+05,1,0.8,27.75,0.8839,47.9,37.51,65.33,10.95,1.464e+04,689.4,96.87,9.716,2.104e+06,1.087e+06,44.86,9.211
18,2,195,241,37,345,226,854,3.823e+05,78.18,6.177759,4.159e+05,4.159e+04,1,0.8,14.85,0.3394,34.36,18.46,34.6,12.44,7158,506.1,110.6,11.58,1.298e+06,1.407e+06,21.24,7.986
19,2,307,235,47,345,6,124,6.05e+04,76.45,5.965481,6.583e+04,6583,1,0.8,5.86,0.1316,17.33,12.73,10.2,10.57,2132,235.6,201.4,64.61,1.248e+06,3.885e+06,6.162,6.423
20,2,203,236,43,345,54,123,7.933e+04,76.45,5.63099,8.631e+04,8631,1,0.8,13.03,0.5522,7.304,14.3,nan,4.041,2932,331.6,nan,nan,nan,nan,nan,nan
21,2,250,282,41,345,92,227,1.467e+05,76.7,5.55324,1.596e+05,1.596e+04,1,0.8,10.07,0.377,21.99,19.66,25.76,3.446,5788,48,76.56,7.749,5.558e+05,2.337e+05,18.97,3.473
22,2,214,202,50,345,14,563,3.479e+05,77.5,5.084587,3.786e+05,3.786e+04,1,0.8,24.3,0.7719,18.42,26.16,28.18,3.087,7025,506.1,151.7,15.28,5.857e+06,2.046e+06,50.92,8.216
23,2,143,111,35,345,347,1133,7.539e+05,78.83,6.5731397,8.202e+05,8.202e+04,1,0.8,22.59,0.9106,25.82,34.88,43.6,13.86,2.294e+04,199,137.3,14.06,2.96e+06,2.849e+06,31.41,10.77
24,2,191,172,42,345,194,672,4.146e+05,77.75,5.2100434,4.51e+05,4.51e+04,1,0.8,25.29,0.8706,19.05,22.35,25.42,5.671,8072,576,222.2,22.97,1.03e+07,7.004e+06,41.75,10.6
25,2,142,156,29,345,152,389,1.939e+05,77.08,5.792925,2.11e+05,2.11e+04,1,0.8,11.11,0.3912,35.93,19.47,37.01,14.76,5788,48,49.04,5.154,3.015e+05,3.626e+05,25.1,10.47
26,2,231,246,44,345,57,17,1.023e+05,76.56,4.4592576,1.113e+05,1.113e+04,1,0.8,12.3,0.3661,20.46,11.64,12.26,5.93,2761,279.3,235.5,36.49,5.351e+06,7.789e+06,19.3,9.603
27,2,245,274,39,345,57,154,9.067e+04,76.52,4.401322,9.865e+04,9865,1,0.8,11.02,0.3969,20.46,17.03,21.01,4.659,278,270.5,71.1,7.458,7.564e+05,5.116e+05,29.94,7.595
28,2,169,73,33,345,284,766,3.039e+05,77.97,6.168647,3.306e+05,3.306e+04,1,0.8,13.63,0.4507,32.45,26.12,41.96,10.93,7711,741.8,59.77,6.08,4.876e+05,3.856e+05,27.32,7.834
29,2,162,89,33,345,288,568,2.341e+05,77.51,5.629097,2.547e+05,2.547e+04,1,0.8,7.596,0.2459,45.84,29.15,55.24,15.35,8263,706.9,26.56,2.686,5.111e+04,4.303e+04,14.5,4.382
30,2,177,202,31,345,45,71,7.585e+04,76.32,4.2704473,8.252e+04,8252,1,0.8,12.76,0.4683,21.57,13.38,16.84,8.725,3237,410.2,92.63,12.61,1.649e+06,2.571e+06,38.46,20.49
31,2,153,92,31,345,127,26,1.379e+05,76.78,5.5425167,1.5e+05,1.5e+04,1,0.8,10.46,0.4276,25.24,20.05,29.29,5.393,5121,471.2,55.67,5.665,3.831e+05,2.174e+05,24.74,5.565
32,2,243,215,26,345,44,105,9.602e+04,76.41,3.7250526,1.045e+05,1.045e+04,1,0.8,13.79,0.4781,27.97,12.42,20.95,16.39,337,357.8,75.78,11.38,1.268e+06,2.98e+06,44.18,34.99
33,2,171,174,37,345,37,71,1.023e+05,76.32,4.1311255,1.113e+05,1.113e+04,1,0.8,13.24,0.551,22.46,25.46,32.13,11.89,5121,567.2,34.31,3.631,3.45e+05,3.857e+05,58.64,23.01
34,2,225,177,45,345,44,103,1.26e+05,76.4,3.8796444,1.371e+05,1.371e+04,1,0.8,14.53,0.5854,16.74,22.44,22.66,9.47,4074,401.4,85.03,9.718,1.459e+06,1.839e+06,40.39,17.66
35,2,217,192,41,345,59,91,1.712e+05,76.37,3.650374,1.862e+05,1.862e+04,1,0.8,12.3,0.54,31.11,21.67,36.09,13.39,6797,672,45.5,4.762,3.513e+05,3.937e+05,33.96,13.38
36,2,202,154,41,345,12,271,3.311e+05,76.8,3.8412402,3.602e+05,3.602e+04,1,0.8,20.33,0.9328,16.35,29.34,28.08,13.78,1.068e+04,706.9,145.4,16.42,3.944e+06,5.831e+06,37.32,19
37,2,244,214,43,345,26,38,5.756e+04,76.25,3.4296756,6.262e+04,6262,1,0.8,10.37,0.3788,17.71,12.44,10.16,10.48,2361,235.6,193.2,61.92,3.767e+06,1.166e+07,20.21,20.99
