ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco.value, errlumco,COmax.value,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,238,264,86,345,238,1226,3.301e+05,3.519e+04,12.49852,3.592e+05,4.563e+04,1,0.8,12.85,0.4792,24.81,14.65,21.94,12,5407,558.5,237.4,35,3.29e+06,5.418e+06,11.68,6.615
2,2,240,264,89,345,115,359,9.613e+04,1.166e+04,12.412313,1.046e+05,1.401e+04,1,0.8,5.036,0.1116,19.45,16.74,19.53,4.622,2475,244.3,87.28,12.12,2.088e+05,1.511e+05,5.485,1.511
3,2,226,237,85,345,128,959,2.417e+05,2.647e+04,11.742304,2.63e+05,3.376e+04,1,0.8,10.89,0.3841,12.15,22,15.08,8.559,2894,296.7,368.2,62.95,5.33e+06,9.109e+06,7.869,4.613
4,2,222,237,74,345,77,486,1.295e+05,1.506e+04,11.746432,1.409e+05,1.854e+04,1,0.8,8.759,0.1977,16.65,11.43,4.907,15.12,1752,200.7,1863,3517,5.365e+07,4.959e+08,3.094,9.54
5,2,240,263,91,345,8,33,8.609e+04,1.068e+04,11.441867,9.367e+04,1.268e+04,1,0.8,5.044,0.127,12.48,17.9,10.55,5.297,1809,200.7,268.1,52.77,1.191e+06,1.803e+06,3.317,1.734
6,2,225,237,79,345,109,476,1.203e+05,1.422e+04,10.424277,1.309e+05,1.734e+04,1,0.8,6.971,0.164,24.21,13.19,19.11,8.415,2304,244.3,114.1,17.05,5.345e+05,7.102e+05,8.218,3.799
7,2,269,252,101,345,8,197,4.967e+04,6967,10.383769,5.404e+04,7764,1,0.8,8.631,0.3343,13.15,10.24,nan,6.667,1694,253.1,nan,nan,nan,nan,nan,nan
8,2,232,274,74,345,404,1962,4.722e+05,4.967e+04,10.303749,5.138e+05,6.495e+04,1,0.8,13.02,0.3394,30.17,15.13,26.97,18.04,8586,610.9,224.9,32.99,2.603e+06,5.237e+06,10.3,7.034
9,2,191,216,74,345,224,1102,2.853e+05,3.078e+04,10.518852,3.104e+05,3.962e+04,1,0.8,8.534,0.5007,25.39,15.45,23.61,8.807,4969,462.5,177.3,24.14,1.007e+06,1.141e+06,6.416,2.639
10,2,254,244,88,345,76,228,5.649e+04,7716,10.022491,6.146e+04,871,1,0.8,5.332,0.1588,16.69,1,nan,11.72,1637,218.2,nan,nan,nan,nan,nan,nan
11,2,268,246,96,345,107,332,7.752e+04,1.002e+04,9.923282,8.434e+04,1.163e+04,1,0.8,5.91,0.1639,21.67,9.117,6.559,14.25,2304,253.1,624,625.8,6.122e+06,3.99e+07,3.147,6.851
12,2,223,212,74,345,217,1202,2.928e+05,3.167e+04,9.91919,3.186e+05,4.07e+04,1,0.8,9.464,0.2182,41.53,16.24,36.1,21.17,4741,445.1,77.79,10.64,3.555e+05,6.273e+05,11.76,7.077
13,2,190,217,70,345,216,1257,2.924e+05,3.173e+04,10.091398,3.181e+05,4.07e+04,1,0.8,9.763,0.3486,17.99,31.69,32.05,15.77,4798,418.9,98.54,13.4,5.398e+05,8.008e+05,11.12,5.712
14,2,269,253,106,345,88,31,7.474e+04,9666,9.708374,8.132e+04,1.122e+04,1,0.8,6.511,0.1905,13.25,17.77,11.98,7.864,1847,200.7,180.4,38.72,1.176e+06,2.323e+06,7.233,4.87
15,2,246,204,81,345,357,1978,4.854e+05,5.095e+04,9.617644,5.281e+05,6.671e+04,1,0.8,12.25,0.4053,45.7,20.68,44.92,19.66,7692,532.3,83.32,10.8,5.131e+05,6.776e+05,14.79,6.808
16,2,269,252,103,345,109,306,7.459e+04,9629,9.278436,8.115e+04,1.119e+04,1,0.8,8.343,0.321,9.043,29.77,15.24,28.16,2361,253.1,111.2,43.24,9.355e+05,5.187e+06,15.14,28.08
17,2,195,226,81,345,249,136,3.144e+05,3.396e+04,9.476615,3.421e+05,4.368e+04,1,0.8,13.41,0.4132,19.14,30.94,32.95,15.43,554,436.3,100.3,13.5,1.007e+06,1.422e+06,20.05,9.807
18,2,190,209,79,345,285,196,4.487e+05,4.744e+04,9.462985,4.882e+05,6.184e+04,1,0.8,12.05,0.3452,34.84,18.54,35.05,7.353,5788,392.7,126.5,16.18,9.649e+05,6.219e+05,12.07,3.037
19,2,255,244,86,345,113,394,1.041e+05,1.249e+04,8.86478,1.132e+05,1.51e+04,1,0.8,12.81,0.4778,18.3,11.35,8.38,15.78,297,340.3,513.3,352.8,1.851e+07,1.046e+08,14.06,26.57
20,2,262,248,100,345,91,266,6.459e+04,8599,8.595354,7.027e+04,9834,1,0.8,5.229,0.1318,16.69,14.12,11.99,5.93,1942,235.6,155.6,29.07,6.536e+05,9.746e+05,5.402,2.79
21,2,262,249,104,345,77,297,6.648e+04,8955,8.310772,7.233e+04,1.018e+04,1,0.8,5.43,0.1584,13.09,16.46,9.497,8.393,1618,183.3,255.3,79.82,1.46e+06,3.878e+06,4.483,4.021
22,2,231,274,78,345,77,199,4.708e+04,6803,8.140684,5.122e+04,7474,1,0.8,3.96,0.1081,13.14,19.96,14.64,9.63,1809,226.9,76.11,15.12,1.502e+05,2.973e+05,5.189,3.508
23,2,242,205,72,345,74,246,5.772e+04,7945,8.148157,6.28e+04,8936,1,0.8,6.002,0.1668,11.47,14.93,nan,14.61,1637,200.7,nan,nan,nan,nan,nan,nan
24,2,267,247,94,345,55,14,3.33e+04,5296,8.020783,3.623e+04,5575,1,0.8,5.2,0.1376,13.52,12.4,nan,10.04,1257,165.8,nan,nan,nan,nan,nan,nan
25,2,217,245,88,345,112,539,1.291e+05,1.523e+04,8.018893,1.404e+05,1.859e+04,1,0.8,9.313,0.2659,23.74,13.02,18.38,13.87,2323,253.1,132.3,23.92,1.15e+06,2.607e+06,13.15,10.1
26,2,240,204,68,345,102,332,7.663e+04,9947,7.9989266,8.337e+04,1.153e+04,1,0.8,6.004,0.1692,11.86,19.99,12.14,7.274,2208,270.5,18,36.44,9.841e+05,1.775e+06,6.082,3.754
27,2,195,241,75,345,82,17,4.042e+04,6078,7.740514,4.398e+04,6556,1,0.8,5.331,0.152,10.94,16.85,2.846,57.49,1809,226.9,1729,3.683e+04,3.181e+07,1.928e+09,2.129,43.03
28,2,229,263,87,345,52,144,3.329e+04,5342,7.5936003,3.622e+04,5602,1,0.8,5.425,0.1645,9.339,14.32,nan,4.903,118,165.8,nan,nan,nan,nan,nan,nan
29,2,191,237,74,345,141,502,1.173e+05,1.408e+04,7.735216,1.276e+05,1.702e+04,1,0.8,8.095,0.2443,24.88,16.04,24,11.45,3237,314.2,70.54,10.31,3.548e+05,5.104e+05,14.27,7.122
30,2,237,251,80,345,57,273,6.457e+04,8647,7.4766493,7.025e+04,9859,1,0.8,8.145,0.2434,13.54,10.1,nan,6.108,1371,200.7,nan,nan,nan,nan,nan,nan
31,2,248,245,83,345,67,204,4.681e+04,6828,7.447117,5.093e+04,7468,1,0.8,4.791,0.1479,19.3,9.604,3.313,22.32,1561,218.2,1477,901,1.884e+07,3.809e+08,1.73,11.66
32,2,190,192,75,345,332,1802,3.751e+05,4.032e+04,7.706014,4.081e+05,5.202e+04,1,0.8,12.48,0.4051,19.21,45.73,42.92,10.19,7025,593.4,70.52,9.064,4.717e+05,3.427e+05,18.99,5.262
