ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco.value, errlumco,COmax.value,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
0,1,238,264,86,345,4722,2.634e+04,1.67e+07,1.671e+06,12.49852,1.817e+07,2.256e+06,1,0.8,48.42,1.375,112.8,211.1,249.9,97.55,3.309e+05,1.459e+04,92.63,11.51,1.601e+06,1.887e+06,37.33,15.44
1,1,238,264,86,345,4843,2.660e+04,1.793e+07,1.794e+06,12.49852,1.951e+07,2.422e+06,1,0.8,49.45,1.355,112.2,210.4,248.8,89.58,3.691e+05,1.497e+04,100.3,12.46,1.816e+06,1.977e+06,36.11,13.9
2,1,238,264,86,345,4839,2.66e+04,1.763e+07,1.764e+06,12.49852,1.919e+07,2.382e+06,1,0.8,49.41,1.351,112,214.6,251.1,105,3.609e+05,1.468e+04,96.87,12.04,1.735e+06,2.19e+06,37.01,16.27
3,1,238,264,86,345,4615,2.622e+04,1.47e+07,1.471e+06,12.49852,1.6e+07,1.986e+06,1,0.8,47.94,1.369,113.9,205,247.5,64.93,2.706e+05,1.223e+04,83.16,10.33,1.423e+06,1.137e+06,41.17,12.18
4,1,238,264,86,345,4646,2.625e+04,1.573e+07,1.574e+06,12.49852,1.712e+07,2.125e+06,1,0.8,47.94,1.377,113.8,205.5,247.7,51.56,2.992e+05,1.338e+04,88.82,11.03,1.518e+06,9.708e+05,38.52,9.596
5,1,238,264,86,345,4621,2.622e+04,1.517e+07,1.518e+06,12.49852,1.65e+07,2.048e+06,1,0.8,47.93,1.375,114.3,204.2,247.4,60.13,2.838e+05,1.312e+04,85.82,10.66,1.468e+06,1.089e+06,39.89,11.13
6,1,238,264,86,345,3452,2.381e+04,1.231e+07,1.232e+06,12.49852,1.339e+07,1.663e+06,1,0.8,47.22,1.353,113.4,204.7,246.7,73.11,1.874e+05,7775,70.05,8.702,1.166e+06,1.049e+06,47.57,15.53
7,1,238,264,86,345,3452,2.381e+04,1.098e+07,1.1e+06,12.49852,1.195e+07,1.484e+06,1,0.8,47.02,1.308,114.6,200.5,245.4,78.36,1.577e+05,6781,63.14,7.844,1.048e+06,1.013e+06,52.6,18.25
8,1,238,264,86,345,3452,2.381e+04,1.114e+07,1.115e+06,12.49852,1.212e+07,1.504e+06,1,0.8,47.05,1.313,114.6,200.6,245.5,78.44,1.617e+05,7034,64,7.951,1.063e+06,1.029e+06,51.94,18.04
9,1,238,264,86,345,4657,2.626e+04,1.603e+07,1.604e+06,12.49852,1.744e+07,2.165e+06,1,0.8,47.99,1.383,113.7,206.5,248.1,48.44,3.094e+05,1.374e+04,90.15,11.19,1.541e+06,9.27e+05,37.96,9.051
10,1,238,264,86,345,3452,2.381e+04,1.155e+07,1.156e+06,12.49852,1.257e+07,1.56e+06,1,0.8,47.17,1.331,113,204.7,246.2,67.71,1.696e+05,7208,65.97,8.195,1.098e+06,9.184e+05,50.5,15.5
11,2,243,215,54,345,7,7,6.608e+04,6672,4.303709,7.189e+04,8954,1,0.8,9.498,0.2974,24.01,10.41,13.47,8.891,2875,305.4,126.1,24.31,1.556e+06,3.089e+06,19.57,13.21
12,1,238,264,86,345,4615,2.621e+04,1.462e+07,1.463e+06,12.49852,1.59e+07,1.974e+06,1,0.8,47.46,1.368,114,204.3,247.1,68.67,2.689e+05,1.232e+04,82.9,10.3,1.392e+06,1.176e+06,40.54,12.56
13,2,149,133,54,345,3,3,4.632e+04,4671,4.146067,5.04e+04,6274,1,0.8,8.825,0.2709,20.3,10.99,10.51,17.19,4893,654.5,145.3,70.26,1.984e+06,9.744e+06,18.8,30.88
14,1,238,264,86,345,4845,2.661e+04,1.801e+07,1.802e+06,12.49852,1.959e+07,2.432e+06,1,0.8,49.46,1.356,112.2,210.4,248.8,89.59,3.757e+05,1.532e+04,100.7,12.51,1.824e+06,1.986e+06,35.97,13.84
15,2,142,156,59,345,113,261,2.273e+05,2.342e+04,6.2942014,2.473e+05,3.103e+04,1,0.8,11.66,0.333,37.77,19.5,38.31,18.78,9557,829,53.64,7.037,3.506e+05,5.178e+05,24.39,12.42
16,1,238,264,86,345,4717,2.633e+04,1.615e+07,1.616e+06,12.49852,1.757e+07,2.181e+06,1,0.8,48,1.385,113.8,206.5,248.2,48.5,3.16e+05,1.436e+04,90.82,11.28,1.553e+06,9.353e+05,37.7,8.995
17,2,179,186,60,345,7,7,2.088e+04,2283,4.3524714,2.272e+04,2915,1,0.8,4.275,0.1641,13.42,9.845,nan,5.916,2056,288,nan,nan,nan,nan,nan,nan
18,1,238,264,86,345,3446,2.38e+04,1.073e+07,1.074e+06,12.49852,1.167e+07,1.449e+06,1,0.8,40.57,1.245,115.1,196.9,243.7,86.77,1.535e+05,6859,62.53,7.769,7.779e+05,8.378e+05,39.82,15.21
19,1,238,264,86,345,3018,2.108e+04,8.035e+06,8.051e+05,12.49852,8.743e+06,1.086e+06,1,0.8,39.76,1.142,106.1,188.1,228.6,85.4,1.05e+05,5463,53.24,6.618,6.781e+05,7.655e+05,47.88,19.05
20,1,238,264,86,345,3432,2.379e+04,9.561e+06,9.576e+05,12.49852,1.04e+07,1.292e+06,1,0.8,40.58,1.229,111.2,198.2,240.3,78.21,1.303e+05,658,57.32,7.123,7.236e+05,7.135e+05,44.07,15.58
21,1,238,264,86,345,3416,2.377e+04,9.206e+06,9.222e+05,12.49852,1.002e+07,1.244e+06,1,0.8,40.49,1.214,111,200.1,241.3,78.3,1.223e+05,6274,54.78,6.807,6.858e+05,6.744e+05,45.74,16.13
22,1,238,264,86,345,289,2.071e+04,7.283e+06,7.3e+05,12.49852,7.924e+06,9.843e+05,1,0.8,31.37,0.814,106.8,183.4,226.4,72.86,9.396e+04,5236,49.18,6.114,3.936e+05,3.836e+05,32.56,11.36
23,1,238,264,86,345,285,2.066e+04,6.596e+06,6.615e+05,12.49852,7.176e+06,8.917e+05,1,0.8,31.33,0.808,106.6,183.1,226.1,59.65,8.067e+04,4599,44.7,5.555,3.575e+05,2.871e+05,35.82,10.61
24,1,238,264,86,345,2753,2.043e+04,5.871e+06,5.893e+05,12.49852,6.388e+06,7.939e+05,1,0.8,29.69,0.7948,110.2,165.4,218.4,76.37,6.97e+04,4363,42.62,5.3,3.168e+05,3.351e+05,34.92,13.09
25,1,238,264,86,345,2883,2.071e+04,6.996e+06,7.014e+05,12.49852,7.612e+06,9.457e+05,1,0.8,31.37,0.8137,106.5,185.8,227.6,67.74,8.866e+04,4992,46.76,5.812,3.723e+05,3.361e+05,34.08,11.13
26,1,191,216,74,345,1476,1.122e+04,2.787e+06,2.811e+05,10.518852,3.032e+06,3.775e+05,1,0.8,29.01,0.7929,124.9,49.66,126.1,35.03,3.299e+04,2121,60.67,7.564,7.459e+05,6.296e+05,40.56,12.54
27,1,238,264,86,345,2999,2.106e+04,7.771e+06,7.787e+05,12.49852,8.455e+06,1.05e+06,1,0.8,39.33,1.155,107,182.6,226.2,74.68,1.004e+05,5323,52.61,6.539,6.629e+05,6.629e+05,47.92,17.14
28,1,238,264,86,345,3433,2.379e+04,9.806e+06,9.821e+05,12.49852,1.067e+07,1.325e+06,1,0.8,40.6,1.232,111.2,198.6,240.6,83.49,1.342e+05,6615,58.67,7.29,7.404e+05,7.775e+05,43.05,16.08
29,1,191,216,74,345,687,6179,1.308e+06,1.337e+05,10.518852,1.423e+06,1.78e+05,1,0.8,24.48,0.6675,27.17,42.56,50.76,11.68,1.308e+04,829,175.8,22.12,3.822e+06,2.689e+06,24.74,6.618
30,1,191,216,74,345,867,7294,1.526e+06,1.554e+05,10.518852,1.66e+06,2.074e+05,1,0.8,24.63,0.686,27.45,42.47,51.01,10.89,1.675e+04,1126,203.1,25.5,4.449e+06,2.914e+06,21.59,5.475
31,2,146,190,62,345,,,5.791e+04,5791,3.694381,6.301e+04,782,1,0.8,8.896,0.2765,24.23,12.17,17.32,14.59,514,558.5,66.83,12.8,5.624e+05,1.423e+06,25.2,21.51
32,1,238,264,86,345,2304,1.793e+04,4.572e+06,4.595e+05,12.49852,4.974e+06,6.185e+05,1,0.8,29.16,0.7978,110.8,162.9,217.3,67.04,5.213e+04,3464,33.54,4.173,2.418e+05,2.262e+05,43.02,14.5
33,1,165,75,66,345,1121,2344,2.108e+06,2.115e+05,8.224795,2.294e+06,2.85e+05,1,0.8,23.12,0.7202,56.02,139.9,142.2,32.55,7.339e+04,4102,36.09,4.488,2.499e+05,1.751e+05,38.39,10.28
34,1,165,75,66,345,1163,2392,2.236e+06,2.242e+05,8.224795,2.433e+06,3.023e+05,1,0.8,23.15,0.7237,57.51,141.6,145,66.65,8.042e+04,4677,36.81,4.587,2.507e+05,3.473e+05,37.02,17.77
35,1,165,75,66,345,923,1791,9.182e+05,9.3e+04,8.224795,9.99e+05,1.246e+05,1,0.8,18.78,0.6253,55.47,105.8,122.6,30.44,3.779e+04,2784,21.15,2.641,1.12e+05,8.493e+04,50.11,14.31
36,2,254,223,65,345,4,4,5.311e+04,5357,4.2334504,5.779e+04,7194,1,0.8,11.71,0.3876,23.26,13.55,18.81,9.787,4208,418.9,51.97,7.775,6.977e+05,1.093e+06,51.7,27.87
37,1,238,264,86,345,558,4455,1.159e+06,1.182e+05,12.49852,1.261e+06,1.576e+05,1,0.8,25.38,0.7833,36.12,20.19,38.05,18.15,1.247e+04,759.2,277.1,36.17,8.64e+06,1.242e+07,22.52,11.19
38,2,126,90,65,345,7,7,3.221e+04,335,4.422574,3.504e+04,4412,1,0.8,5.51,0.1753,8.729,23.18,7.46,10.18,377,523.6,200.4,112.9,1.503e+06,6.157e+06,7.486,10.27
39,1,238,264,86,345,828,6711,1.766e+06,1.789e+05,12.49852,1.921e+06,2.395e+05,1,0.8,25.16,0.7133,38.3,86.44,90.93,40.3,1.898e+04,1422,73.96,9.285,9.483e+05,1.267e+06,34.69,16.09
40,1,496,349,82,345,69,975,1.325e+06,1.329e+05,6.445147,1.442e+06,1.791e+05,1,0.8,17.65,0.6152,49.73,156,141.5,84.2,6.713e+04,4368,22.93,2.864,9.297e+04,1.665e+05,35.39,21.66
41,1,165,75,66,345,829,1619,5.464e+05,5.641e+04,8.224795,5.945e+05,7.464e+04,1,0.8,11.2,0.3754,49.23,117.4,121.6,38.86,2.483e+04,2086,12.8,1.61,2.432e+04,2.357e+04,29.71,10.39
42,1,165,75,66,345,589,1209,3.356e+05,3.568e+04,8.224795,3.651e+05,4.634e+04,1,0.8,9.702,0.3139,24.56,99.8,77.44,80.43,1.552e+04,1466,19.38,2.581,4.34e+04,1.354e+05,23.12,24.24
43,2,152,91,63,345,82,146,4.578e+04,6217,7.6290603,4.981e+04,7038,1,0.8,4.727,0.1408,22.37,15,20.2,10.03,2247,270.5,38.87,6.196,7.923e+04,1.186e+05,10.49,5.453
44,2,496,349,82,345,627,894,7.331e+05,7.405e+04,6.445147,7.976e+05,9.935e+04,1,0.8,16.82,0.5909,50.04,54.33,81.88,23.1,3.579e+04,2121,37.87,4.733,2.411e+05,2.07e+05,33.66,10.65
45,2,471,392,62,345,76,89,7.479e+04,8168,7.046003,8.137e+04,1.044e+04,1,0.8,8.458,0.2954,69.85,44.37,87.81,10.4,6511,977.4,3.359,0.431,5041,1936,89.4,16.81
46,1,489,405,67,345,1277,1871,2.028e+06,2.033e+05,7.6083436,2.206e+06,2.741e+05,1,0.8,21.73,0.7368,56.55,253.2,193.3,149.1,1.04e+05,689,18.8,2.346,8.461e+04,1.961e+05,47.92,37.57
47,1,165,75,66,345,671,1355,3.831e+05,4.04e+04,8.224795,4.168e+05,5.274e+04,1,0.8,9.745,0.32,26.24,110.7,84.81,28.84,1.774e+04,1649,18.44,2.344,3.805e+04,3.918e+04,22.38,8.251
48,2,157,83,64,345,8,103,1.973e+04,4046,6.967584,2.146e+04,3884,1,0.8,2.71,0.07257,19.46,7.07,nan,6.857,1523,288,nan,nan,nan,nan,nan,nan
49,2,143,111,72,345,173,527,3.516e+05,3.606e+04,7.3763056,3.825e+05,4.791e+04,1,0.8,13.65,0.4187,19.34,21.54,24.94,5.351,1.142e+04,916.3,195.8,25.04,2.694e+06,1.774e+06,14.06,3.598
50,2,191,216,74,345,249,2466,6.146e+05,6.384e+04,10.518852,6.687e+05,8.414e+04,1,0.8,16.84,0.489,23.5,27.11,34.71,11.02,4741,375.2,176.7,22.75,2.66e+06,2.561e+06,17.06,5.91
51,1,489,405,67,345,1149,1579,1.857e+06,1.862e+05,7.6083436,2.02e+06,2.51e+05,1,0.8,21.89,0.76,49.56,172.6,148.8,53.43,9.799e+04,6781,29.06,3.617,1.725e+05,1.875e+05,40.87,15.79
52,1,496,349,82,345,664,938,9.376e+05,9.437e+04,6.445147,1.02e+06,1.269e+05,1,0.8,17.01,0.6214,50.88,118.8,124.5,47.8,4.741e+04,2862,20.97,2.615,8.979e+04,1.043e+05,40.88,16.77
