ncl,ra,dec,v0,R,R err,vel disp,vel disp err,mlum,mlum err,mvir,mvir err,tmax,R xrad,R xrad err
1,8:36:15,-26:24:38,787.6,21.6,6.6,2.7,0.7,160000,90000,160000,90000,4.6,41.256,12.606
2,8:36:15,-26:24:37,794.8,12.1,3.4,3.7,0.7,230000,90000,170000,90000,5,23.111,6.494
3,8:36:16,-26:24:43,799,28.1,4.5,2.7,0.6,290000,110000,220000,110000,5.8,53.671,8.595
4,8:36:16,-26:24:43,807.8,38.1,3.6,5.2,0.7,980000,320000,1060000,320000,7.9,72.771,6.876
5,8:36:15,-26:24:32,806,18.1,6,4.8,1.1,250000,230000,440000,230000,5.2,34.571,11.46
6,8:36:16,-26:24:38,806.2,25.7,3.7,4.8,0.6,560000,190000,610000,190000,7.3,49.087,7.067
7,8:36:16,-26:24:39,811.7,11,5.5,2.3,0.7,120000,40000,60000,40000,5.7,21.01,10.505
8,8:36:16,-26:24:37,814.4,36,3.2,4.5,0.5,790000,170000,760000,170000,8.1,68.76,6.112
9,8:36:16,-26:24:40,817.2,22.5,9.3,2.8,1.1,140000,160000,180000,160000,4.9,42.975,17.763
10,8:36:15,-26:24:38,818.3,44,3.7,7,0.8,1290000,590000,2240000,590000,8.8,84.04,7.067
11,8:36:16,-26:24:35,825.1,38.4,3.8,3.1,0.5,640000,120000,370000,120000,6.1,73.344,7.258
12,8:36:16,-26:24:41,828.3,30.6,5.4,3.4,0.7,390000,180000,370000,180000,4.9,58.446,10.314
13,8:36:15,-26:24:38,830.2,41.2,4.1,3.2,0.2,800000,80000,430000,80000,10.4,78.692,7.831
14,8:36:15,-26:24:32,823.4,43.3,2.2,6.4,0.4,2410000,230000,1850000,230000,11,82.703,4.202
15,8:36:15,-26:24:31,830,19.1,2.9,4.2,0.6,420000,110000,360000,110000,7.9,36.481,5.539
16,8:36:15,-26:24:32,834,24.8,5.5,2.5,0.4,250000,70000,160000,70000,6.5,47.368,10.505
17,8:36:16,-26:24:41,835.1,15.8,6.5,3.5,1.1,150000,140000,210000,140000,6,30.178,12.415
