ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco.value, errlumco,COmax.value,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,239,264,44,345,295,1561,6.861e+05,79.82,11.106832,7.465e+05,7.465e+04,1,0.8,18.32,0.5404,25.28,16.02,24.31,6.34,7216,654.5,402,42.23,1.022e+07,8.083e+06,12.66,3.613
2,2,221,237,36,345,125,632,2.92e+05,77.66,10.991272,3.176e+05,3.176e+04,1,0.8,13.78,0.3438,18.92,12.44,11.96,3.918,3351,375.2,707.4,91.58,2.069e+07,2.047e+07,8.276,2.865
3,2,227,237,42,345,172,928,3.888e+05,78.35,10.828984,4.23e+05,4.23e+04,1,0.8,15.57,0.4374,13.15,21.39,16.26,12.66,4093,357.8,509.3,89.13,1.398e+07,3.27e+07,10.79,8.49
4,2,193,217,36,345,397,2782,1.101e+06,82.57,9.860076,1.198e+06,1.198e+05,1,0.8,30.76,0.9184,22.4,40.68,43.92,5.893,1.005e+04,890.1,197.7,19.85,7.846e+06,3.288e+06,40.17,7.138
5,2,195,226,40,345,237,1175,4.477e+05,78.93,9.187742,4.871e+05,4.871e+04,1,0.8,19.28,0.5343,18.03,32.52,32.72,12.05,5293,445.1,144.9,15.29,3.031e+06,3.369e+06,28.91,11.15
6,2,242,203,38,345,414,2028,8.19e+05,80.88,9.029323,8.911e+05,8.911e+04,1,0.8,21.56,0.6568,32.25,18.68,33.36,4.808,1.04e+04,741.8,254.8,25.69,6.538e+06,2.929e+06,20.15,3.742
7,2,269,252,50,345,159,717,2.972e+05,77.86,8.844007,3.233e+05,3.233e+04,1,0.8,12.77,0.329,13.08,24.42,19.1,11.85,377,322.9,282,39.37,4.434e+06,8.266e+06,11.16,7.032
8,2,231,274,37,345,498,2639,1.015e+06,82.26,8.839772,1.105e+06,1.105e+05,1,0.8,21.36,0.5835,54.26,18.01,45.86,16.18,1.22e+04,706.9,167.2,17.16,3.066e+06,3.264e+06,21.94,8.135
9,2,223,212,37,345,159,666,2.885e+05,77.74,8.584365,3.139e+05,3.139e+04,1,0.8,16.79,0.5999,40.21,14.17,32.05,14.35,3865,366.5,97.28,10.55,1.576e+06,2.125e+06,33.32,15.47
10,2,255,244,43,345,216,926,3.73e+05,78.35,8.343871,4.058e+05,4.058e+04,1,0.8,18.56,0.669,36.13,15.55,31.71,21.46,5997,506.1,128.5,15.26,2.571e+06,5.23e+06,31.17,21.44
11,2,190,209,39,345,2,1384,5.324e+05,79.41,8.298391,5.793e+05,5.793e+04,1,0.8,22.63,0.6215,24.28,19.72,28.03,4.034,476,401.4,234.6,23.74,7.895e+06,3.525e+06,28.7,5.271
12,2,262,248,50,345,187,915,3.72e+05,78.32,7.8414087,4.048e+05,4.048e+04,1,0.8,18.04,0.5127,22.64,16.44,22.46,9.384,4703,384,255.5,29.26,6.821e+06,8.587e+06,20.91,9.063
13,2,212,214,37,345,138,531,2.163e+05,77.42,7.607109,2.353e+05,2.353e+04,1,0.8,12.22,0.4762,21.76,13.74,17.64,7.065,3522,296.7,240.7,29.13,3.756e+06,4.538e+06,12.97,5.449
14,2,217,245,43,345,232,913,3.477e+05,78.32,7.2635517,3.783e+05,3.783e+04,1,0.8,16.59,0.6474,41.48,15.27,34.57,14.82,5274,392.7,100.8,10.75,1.477e+06,1.909e+06,29.12,13.02
15,2,256,211,40,345,147,502,1.996e+05,77.35,6.8001466,2.172e+05,2.172e+04,1,0.8,16.07,0.659,26.82,14.52,23.45,16.34,3655,314.2,125.7,16.84,2.551e+06,5.343e+06,32.31,22.9
16,2,237,250,40,345,83,331,1.399e+05,76.95,6.6320047,1.522e+05,1.522e+04,1,0.8,13.59,0.4192,12.74,17.62,10.69,11.62,2513,279.3,424,136.2,1.349e+07,4.404e+07,15.02,16.43
17,2,192,189,39,345,474,26,9.63e+05,82.17,6.99674,1.048e+06,1.048e+05,1,0.8,26.63,0.9875,43.8,34.21,58.99,9.018,1.169e+04,637,95.82,9.611,2.121e+06,1.008e+06,46.24,9.116
18,2,195,241,37,345,226,854,3.076e+05,78.18,6.177759,3.346e+05,3.346e+04,1,0.8,13.53,0.4325,33.34,17.75,32.94,9.009,5483,453.8,98.16,10.12,1.005e+06,8.334e+05,20.88,6.226
19,2,203,236,43,345,54,123,5.417e+04,76.45,5.63099,5.893e+04,5894,1,0.8,12.03,0.5285,6.716,11.69,nan,4.157,1847,253.1,nan,nan,nan,nan,nan,nan
20,2,250,282,41,345,92,227,9.132e+04,76.7,5.55324,9.936e+04,9936,1,0.8,7.855,0.2878,21.35,17.58,22.64,4.454,2665,322.9,61.7,6.376,3.098e+05,1.868e+05,16.28,3.787
21,2,214,202,50,345,14,563,2.245e+05,77.5,5.084587,2.443e+05,2.443e+04,1,0.8,16.99,0.6996,18.17,26.48,28.14,10.69,4246,401.4,98.16,10.59,1.854e+06,2.125e+06,38.51,15.45
22,2,143,111,35,345,315,1093,3.009e+05,78.74,6.5731397,3.274e+05,3.274e+04,1,0.8,17.43,0.7331,17.9,30.4,30.97,16.15,6435,637,108.6,12.17,1.962e+06,3.08e+06,33.28,17.89
23,2,191,172,42,345,194,672,2.62e+05,77.75,5.2100434,2.85e+05,2.85e+04,1,0.8,20.33,0.9264,15.76,18.84,17.49,1.799,5255,392.7,296.6,30.12,1.291e+07,4.35e+06,29.37,4.992
24,2,142,156,29,345,152,388,1.193e+05,77.08,5.792925,1.298e+05,1.298e+04,1,0.8,7.724,0.2692,32.95,17.08,31.75,11.62,3313,305.4,40.99,4.337,1.418e+05,1.567e+05,16.9,6.519
25,2,231,246,44,345,57,17,6.774e+04,76.56,4.4592576,7.37e+04,737,1,0.8,10.34,0.3692,20.56,10.61,9.879,20.19,1561,192,240.4,151.1,4.794e+06,2.94e+07,16.61,34
26,2,245,274,39,345,57,154,6.494e+04,76.52,4.401322,7.066e+04,7066,1,0.8,6.649,0.2511,14.63,18.58,15.47,5.503,198,261.8,93.93,11.41,4.943e+05,5.309e+05,11.21,4.228
27,2,169,73,33,345,24,649,1.792e+05,77.7,6.168647,1.949e+05,1.949e+04,1,0.8,9.259,0.3719,26.85,24.02,35,8.182,4569,427.6,50.64,5.165,2.285e+05,1.629e+05,17.83,4.753
28,2,162,89,33,345,256,514,1.397e+05,77.38,5.629097,1.52e+05,1.52e+04,1,0.8,6.785,0.2814,29.66,21.75,35,8.513,4874,48,39.48,4.033,9.567e+04,7.09e+04,12.28,3.387
29,2,153,92,31,345,1,21,5.487e+04,76.66,5.5425167,5.97e+04,597,1,0.8,6.726,0.2821,22.74,17.11,23.44,9.506,1904,209.4,34.58,3.896,1.23e+05,1.504e+05,20.58,8.766
30,2,243,215,26,345,44,105,4.832e+04,76.41,3.7250526,5.257e+04,5257,1,0.8,9.253,0.3555,23.52,9.506,10.57,19.08,1542,209.4,149.7,78.1,2.233e+06,1.209e+07,19.95,36.09
31,2,225,177,45,345,44,103,5.702e+04,76.4,3.8796444,6.203e+04,6204,1,0.8,12.05,0.4931,13.6,16.74,11.08,8.098,1847,244.3,160.9,35.69,3.884e+06,8.532e+06,30.01,22.28
32,2,217,192,41,345,59,91,7.746e+04,76.37,3.650374,8.428e+04,8428,1,0.8,12.31,0.5499,25.79,18.09,27.46,12.35,3389,401.4,35.58,3.964,3.618e+05,4.907e+05,57.21,26.85
