ncl,mass,mass error,vel disp,vel disp err,R,area,density,velocity metric
1,310000,90000,3.456006247,0.7099149076,93.17981541,27276.8091,11.36496571,0.1281820438
2,210000,50000,4.465868244,1.817685115,59.42525389,11094.09715,18.92898514,0.3356145387
3,250000,210000,2.540468299,2.846748878,90.71997354,25855.66442,9.669061136,0.07114176654
4,100000,50000,2.232482738,0.5779093148,46.07813147,6670.2113,14.99202881,0.1081636563
5,170000,110000,2.642721926,1.064884583,65.66623333,13546.7178,12.54916523,0.1063557147
6,160000,150000,2.335375596,1.92197273,89.91212154,25397.23066,6.299899472,0.06065899771
7,350000,100000,2.948555439,0.5779093148,128.7090599,52043.69333,6.725118407,0.06754753071
8,140000,100000,3.050242478,3.557243199,67.25804041,14211.44676,9.851213771,0.1383325937
9,250000,130000,3.557243199,1.712886212,89.50546129,25168.01378,9.933243132,0.1413766154
10,170000,70000,2.642721926,0.950778195,60.58043083,11529.60922,14.74464544,0.1152844092
11,140000,120000,2.232482738,0.7099149076,70.85044531,15770.12157,8.877547292,0.07034506493
12,480000,110000,6.476417156,1.607476027,148.808491,69567.32403,6.899791054,0.2818654964
13,110000,140000,4.868673246,3.151821565,25.3390134,2017.108572,54.53350479,0.935473643
14,90000,50000,1.501325806,1.286071217,55.02656631,9512.500652,9.461234568,0.0409616541
15,260000,160000,3.658412111,2.540468299,86.0136431,23242.59195,11.18635996,0.1556029798
16,40000,30000,1.712886212,2.438027723,29.34197676,2704.759222,14.78874706,0.09999255331
17,220000,40000,2.948555439,0.8330541256,56.88466138,10165.76877,21.64125557,0.1528352102
18,770000,90000,4.465868244,0.2323341905,114.9178924,41488.25584,18.55946905,0.1735498168
19,470000,140000,4.062508976,1.176426443,176.2589561,97600.54888,4.815546689,0.09363484015
20,190000,170000,2.335375596,1.394266537,65.88807935,13638.40455,13.93124828,0.08277641765
21,450000,110000,4.868673246,1.064884583,96.33673443,29156.38754,15.43401079,0.2460533805
22,600000,70000,3.961562719,0.7099149076,90.51868647,25741.05598,23.30906706,0.1733783353
23,170000,100000,3.151821565,1.501325806,87.00464068,23781.25163,7.14848834,0.1141775783
24,220000,100000,3.860567209,1.176426443,63.11675847,12515.24182,17.57856565,0.2361334697
25,170000,140000,4.062508976,2.12931425,76.78104975,18520.72416,9.178906748,0.2149486004
26,630000,160000,3.25330281,1.064884583,161.6180559,82059.64416,7.677342577,0.06548760356
27,130000,120000,2.948555439,2.12931425,58.74608583,10841.95858,11.99045349,0.1479924842
28,360000,120000,3.961562719,0.7099149076,88.06736399,24365.75468,14.77483479,0.1782042571
29,420000,130000,4.062508976,2.438027723,105.6214457,35047.26141,11.98381794,0.1562559485
30,110000,80000,1.607476027,0.4289279381,67.82517306,14452.12449,7.611337703,0.03809764223
31,590000,200000,6.576775743,2.744809497,171.0703312,91938.8919,6.417305971,0.2528432538
32,60000,50000,2.335375596,2.232482738,23.54806149,1742.048312,34.44221356,0.2316105373
33,250000,90000,3.050242478,1.064884583,86.18312828,23334.27871,10.71385163,0.1079559232
34,640000,150000,3.658412111,0.4289279381,147.8246224,68650.45648,9.32258914,0.09053957965
35,200000,250000,5.874008782,4.969303691,56.65975644,10085.54286,19.83036538,0.6089680108
36,300000,80000,2.846748878,0.8330541256,79.02877451,19620.9652,15.2897677,0.1025446646
37,500000,110000,2.642721926,0.5779093148,158.3342768,78758.9211,6.348487169,0.04410907934
38,150000,60000,2.232482738,0.2323341905,70.61835951,15666.97397,9.574280287,0.07057625255
39,200000,120000,2.642721926,1.286071217,70.07383677,15426.29624,12.96487484,0.09966600232
40,130000,60000,4.062508976,1.712886212,48.4703662,7380.783637,17.6133059,0.3404962758
41,280000,60000,3.759518477,0.950778195,105.5350619,34989.95719,8.002296159,0.1339268573
42,310000,110000,2.540468299,0.7099149076,97.18503434,29672.12553,10.44751579,0.06640918761
43,30000,30000,1.501325806,0.950778195,nan,nan,nan,nan
44,140000,90000,3.25330281,1.286071217,70.07383677,15426.29624,9.07541239,0.1510403834
45,210000,130000,3.25330281,1.712886212,96.33673443,29156.38754,7.202538369,0.1098644171
46,340000,70000,2.948555439,0.5779093148,82.61715984,21443.23942,15.85581326,0.1052321236
47,410000,90000,3.557243199,0.950778195,118.4354022,44066.94578,9.30402579,0.1068428776
48,290000,70000,3.456006247,0.8330541256,94.38569913,27987.38144,10.36181254,0.1265443737
49,250000,70000,2.540468299,0.950778195,84.7747427,22577.86299,11.07279285,0.07613092028
50,270000,160000,2.744809497,0.950778195,102.3588941,32915.54443,8.202811306,0.07360356167
51,230000,80000,2.744809497,1.064884583,86.89975259,23723.94741,9.694845298,0.08669736047
52,90000,60000,2.232482738,0.950778195,39.28290086,4847.937079,18.56459738,0.1268740105
53,70000,50000,1.501325806,1.176426443,60.64062005,11552.53091,6.059278311,0.03716946123
54,150000,120000,3.759518477,2.232482738,73.37980376,16916.20598,8.867236553,0.1926140226
55,70000,100000,2.232482738,1.817685115,50.09883033,7885.060783,8.877547292,0.09948294486
56,240000,110000,3.456006247,1.501325806,87.83923668,24239.6854,9.901118602,0.1359754437
57,180000,100000,2.642721926,1.501325806,80.31090088,20262.77247,8.88328585,0.08696178354
58,120000,90000,2.232482738,1.712886212,46.62904245,6830.663118,17.56784047,0.1068857286
59,270000,150000,3.151821565,2.438027723,89.17879793,24984.64027,10.80663948,0.111393957
60,190000,140000,3.151821565,1.286071217,76.47159146,18371.73319,10.34197471,0.1299041773
61,340000,120000,4.062508976,1.286071217,91.06114045,26050.49877,13.05157352,0.1812406379
62,190000,60000,3.151821565,1.064884583,72.47940397,16503.61559,11.51262879,0.1370593387
63,140000,130000,2.948555439,3.151821565,56.78838261,10131.38624,13.81844466,0.1530943263
64,300000,200000,2.438027723,2.744809497,81.75157002,20996.2665,14.28825453,0.07270782906
65,130000,90000,4.163409561,2.540468299,63.08785224,12503.78098,10.39685518,0.2747593801
66,110000,90000,2.846748878,2.335375596,57.17252487,10268.91637,10.71193844,0.1417460431
67,90000,140000,2.744809497,1.92197273,46.62904245,6830.663118,13.17588036,0.1615726761
68,50000,70000,1.607476027,2.335375596,46.07813147,6670.2113,7.496014406,0.05607821096
69,410000,140000,4.365086388,1.607476027,86.56325664,23540.5739,17.41673766,0.2201162469
70,370000,180000,5.27105105,1.501325806,84.4945661,22428.87202,16.4965942,0.3288256329
71,90000,60000,1.712886212,0.4289279381,62.36084188,12217.25987,7.36662729,0.04704842152
72,40000,30000,1.92197273,1.176426443,nan,nan,nan,nan
73,100000,80000,2.335375596,1.394266537,60.03601253,11323.31403,8.831336809,0.09084512686
74,180000,130000,4.062508976,1.817685115,64.03486863,12881.98884,13.97299767,0.2577342553
75,80000,40000,1.394266537,0.2323341905,55.02656631,9512.500652,8.409986283,0.03532801166
76,350000,50000,1.607476027,0.4289279381,105.5869007,35024.33975,9.993050619,0.02447253552
77,370000,90000,2.540468299,1.176426443,104.4579681,34279.38488,10.79365926,0.06178541758
78,170000,270000,2.335375596,2.232482738,131.3602413,54209.79286,3.135964759,0.04151925362
79,130000,100000,3.961562719,2.232482738,44.63028792,6257.620911,20.7746685,0.3516441392
80,820000,130000,5.27105105,0.8330541256,166.411319,86999.26799,9.425366661,0.1669596716
81,620000,70000,3.456006247,0.5779093148,112.7385489,39929.58108,15.52733546,0.1059440564
82,380000,140000,4.667331055,1.712886212,123.5313818,47940.71109,7.926457313,0.1763436858
83,60000,50000,1.607476027,0.5779093148,34.00658319,3633.087599,16.51487842,0.07598467517
84,100000,130000,2.438027723,0.8330541256,62.65265836,12331.86831,8.109071347,0.09487193894
85,90000,70000,3.050242478,2.744809497,50.38926076,7976.747535,11.2827941,0.184642105
86,1280000,80000,4.969303691,0.4289279381,208.2863538,136292.3587,9.391575672,0.118557835
87,280000,160000,3.151821565,1.064884583,117.0722499,43058.3915,6.502797487,0.08485340622
88,160000,90000,2.540468299,1.286071217,69.49880862,15174.15767,10.54424262,0.09286460166
89,330000,120000,4.365086388,1.286071217,140.225743,61773.95002,5.342057613,0.1358807503
90,400000,130000,3.658412111,0.8330541256,111.1416511,38806.41835,10.30757326,0.1204227132
91,1110000,80000,4.969303691,0.5779093148,107.8600524,36548.63204,30.37049373,0.2289446243
92,110000,80000,2.438027723,1.064884583,48.1304841,7277.63604,15.11479818,0.1234971825
93,60000,60000,1.817685115,2.12931425,44.58939896,6246.160066,9.605901765,0.07409786304
94,70000,60000,4.264267719,3.759518477,73.42950225,16939.12767,4.132444206,0.2476386006
95,500000,120000,3.354695094,1.176426443,171.4111939,92305.63884,5.416787168,0.06565486721
96,190000,110000,2.438027723,0.950778195,77.04192819,18646.79345,10.18941946,0.07715252354
97,60000,70000,2.642721926,3.961562719,30.61962932,2945.436948,20.37049207,0.2280882993
98,80000,100000,2.948555439,2.232482738,51.10811677,8205.964418,9.749006446,0.1701095584
99,440000,140000,4.465868244,1.064884583,116.2435478,42450.96678,10.3648994,0.1715706338
100,230000,150000,2.540468299,1.501325806,117.5232173,43390.756,5.300668188,0.05491663117
101,120000,100000,2.12931425,1.607476027,51.00093431,8171.581887,14.68503916,0.08889992383
102,120000,80000,3.456006247,1.712886212,39.69860451,4951.084677,24.23711324,0.3008664744
103,180000,60000,3.456006247,1.817685115,96.14720693,29041.7791,6.197967396,0.124225961
104,110000,90000,2.232482738,1.501325806,74.3919868,17386.10059,6.326893108,0.06699618319
105,500000,70000,3.961562719,0.7099149076,80.49239467,20354.45923,24.5646418,0.1949746835
106,70000,70000,3.050242478,2.12931425,26.74,2246.325455,31.16200274,0.3479423775
107,150000,80000,2.948555439,1.394266537,66.95905391,14085.37747,10.64934186,0.1298402332
108,80000,100000,1.92197273,1.286071217,65.24823906,13374.80514,5.981395556,0.05661423554
109,550000,140000,3.050242478,1.064884583,156.1067199,76558.43898,7.184054525,0.05960011959
110,60000,80000,2.232482738,1.394266537,49.80670638,7793.37403,7.698847735,0.1000664275
111,130000,70000,2.744809497,2.12931425,53.24071468,8905.075911,14.5984157,0.141507852
112,140000,180000,2.846748878,3.759518477,43.93,6062.78656,23.09169201,0.1844748276
113,90000,60000,3.456006247,2.12931425,nan,nan,nan,nan
114,130000,50000,3.050242478,1.607476027,68.65380689,14807.41066,8.779387769,0.1355202223
115,50000,70000,1.817685115,1.501325806,63.46260631,12652.77195,3.951703247,0.05206182616
116,220000,240000,3.557243199,1.92197273,126.6662694,50404.79263,4.364664321,0.09990014892
117,130000,90000,3.759518477,1.394266537,69.60371254,15220.00104,8.541392319,0.2030635819
118,60000,110000,2.232482738,2.025828022,46.3937388,6761.898054,8.873248239,0.1074278406
119,70000,70000,3.557243199,1.712886212,72.27779189,16411.92884,4.265190319,0.1750742357
120,400000,110000,3.658412111,1.064884583,121.806497,46611.25323,8.581618649,0.1098790254
121,190000,110000,3.050242478,1.92197273,87.44379681,24021.92936,7.909439627,0.1063995333
122,170000,120000,2.438027723,1.501325806,112.0243902,39425.30391,4.311951543,0.05305968787
123,230000,120000,3.050242478,1.176426443,77.63157347,18933.31455,12.14789938,0.1198478758
124,1000000,110000,4.062508976,0.5779093148,165.1349372,85669.81004,11.67272344,0.09994238324
125,230000,140000,3.25330281,1.501325806,87.13033972,23850.0167,9.643599119,0.1214729474
126,350000,70000,3.860567209,0.8330541256,84.90374314,22646.62806,15.45483942,0.1755397186
127,90000,60000,1.92197273,0.950778195,62.71085871,12354.79,7.284624018,0.05890493689
128,190000,180000,4.566615725,5.170491193,46.3937388,6761.898054,28.09861942,0.4494998618
129,60000,50000,2.642721926,1.712886212,10.80459162,366.7470133,163.6005143,0.646389926
130,60000,50000,2.232482738,1.176426443,84.7747427,22577.86299,2.657470285,0.05879084992
131,240000,100000,2.642721926,0.950778195,105.1194316,34714.89696,6.913458516,0.06643851733
132,440000,70000,3.050242478,0.5779093148,103.8098618,33855.33367,12.99647507,0.08962519565
133,50000,40000,1.176426443,1.286071217,46.3937388,6761.898054,7.394373533,0.02983116282
134,270000,170000,2.948555439,0.950778195,124.6046291,48777.35272,5.535355753,0.06977252161
135,220000,80000,2.744809497,0.950778195,79.30526086,19758.49533,11.1344511,0.09499974016
136,1070000,110000,8.381764682,1.394266537,287.3264746,259358.9033,4.125557234,0.2445092443
137,80000,80000,3.151821565,1.286071217,19.19526244,1157.545261,69.11176843,0.5175224464
138,140000,90000,2.744809497,2.540468299,70.5925251,15655.51312,8.942536658,0.1067248857
139,190000,100000,4.163409561,2.540468299,68.09357606,14566.73293,13.04341893,0.2545611521
140,160000,90000,2.025828022,0.950778195,118.5277735,44135.71083,3.625182352,0.03462462049
141,90000,110000,5.27105105,4.264267719,66.65872636,13959.30819,6.447310913,0.4168093315
142,160000,40000,3.759518477,1.176426443,60.88078186,11644.21767,13.74072562,0.2321583059
143,130000,110000,2.232482738,2.846748878,98.73055859,30623.37559,4.245123128,0.05048061357
144,120000,60000,3.961562719,2.232482738,54.52707126,9340.587991,12.84715696,0.2878199546
145,90000,40000,3.557243199,2.025828022,28.58626243,2567.229091,35.0572531,0.442659449
146,90000,50000,2.025828022,0.950778195,33.73732651,3575.783378,25.16930991,0.121645062
147,110000,60000,2.438027723,1.064884583,50.74996158,8091.355978,13.59475474,0.1171228311
148,100000,90000,6.877788829,3.456006247,26.11885717,2143.177857,46.65968326,1.811104478
149,90000,90000,3.25330281,2.438027723,30.44039093,2911.054416,30.91663264,0.3476952447
