ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1,-4.3,2.5,5.2,18,19,3.7,2.6,90000,30000,260000,570000,402948.7606,0.71,135,1,IA,0
2,52.8,5.3,7,50,8,10.2,1.9,440000,70000,5400000,2540000,2141674.468,2.82,49,0.9,IA,0
3,60.5,4.6,5.1,32,0,10.8,4.5,210000,80000,3850000,3190000,1010118.713,4.29,152,0.6,IA,1
4,-2.4,1.3,3.8,32,0,5.1,3.9,70000,60000,850000,1300000,347598.3885,2.78,179,0.2,SA,1
5,3.3,2.1,5.8,40,21,9.6,3.7,160000,60000,3800000,3370000,795522.3792,5.38,8,0.9,SA,0
6,15.3,2.5,6.7,27,33,1.9,2,60000,80000,110000,320000,269434.9286,0.42,116,0.6,SA,0
7,13.4,2.2,5.8,32,0,3.1,3.6,30000,20000,320000,730000,163027.726,2.19,11,0.4,SA,1
8,15.8,2.8,7.8,32,0,11.1,7.3,50000,110000,4090000,5330000,248506.9446,18.42,158,0.5,SA,1
9,24,4.1,9.9,118,14,7.3,1.1,1080000,310000,6550000,2480000,5214731.014,1.4,163,0.5,SA,0
10,19.6,5,12,32,15,8,3.9,380000,330000,2140000,2170000,1857600,1.28,133,0.6,SA,0
11,25.3,1.7,3.8,32,0,4.6,3,40000,30000,700000,920000,172777.2132,4.55,176,0.7,SA,1
12,30,2.5,6.3,32,21,4.5,2.9,180000,200000,690000,1000000,845312.3596,0.89,37,0.5,SA,0
13,36.3,3.7,9.6,56,48,5.7,9.2,130000,230000,1890000,5510000,644015.1951,3.28,150,0.3,SA,0
14,41.5,1.8,4.5,15,15,5,7.7,60000,100000,410000,970000,298202.0548,1.46,51,0.7,SA,0
15,42.7,5.1,11.9,77,21,6.7,3.1,860000,620000,3560000,3120000,4224243.505,0.95,137,0.3,SA,0
16,44.3,9,20.6,65,17,9.3,2.2,2160000,770000,5850000,3290000,10527367.5,0.62,168,0.5,SA,0
17,47,3.3,8.1,32,30,11.6,8.4,320000,500000,4470000,7360000,1547731.616,3.23,173,0.7,SA,0
18,43.2,3.7,8.9,32,22,5.6,2.9,210000,310000,1070000,1160000,979064.4706,1.19,81,1,SA,0
19,46.2,2.6,6.4,42,25,5.9,4.7,180000,190000,1550000,2450000,866023.0714,1.96,162,0.5,SA,0
20,52.6,4.3,11.2,52,15,6.9,2.3,630000,200000,2590000,2040000,3057777.574,0.94,62,0.6,SA,0
21,53,2,4,32,0,5.9,1.8,90000,40000,1140000,700000,468572.8696,2.76,84,0.7,SA,1
22,51.2,2.6,5.9,33,31,6.5,4.9,110000,180000,1460000,2600000,546866.3007,2.96,31,0.7,SA,0
23,59.2,3.6,10.7,32,0,5.6,3.7,160000,130000,1040000,1390000,792576,1.47,160,0.5,SA,1
24,56,6.8,17.7,108,16,15.4,2.6,2560000,660000,26780000,11320000,12390424.2,2.4,12,0.5,SA,0
25,54.9,2,5.2,20,11,9.2,5.1,100000,50000,1750000,2310000,495048.0605,3.97,135,0.6,SA,0
26,56.8,1.9,5.2,19,20,5.5,6.3,50000,60000,600000,1370000,235789.6643,2.83,83,0.6,SA,0
27,51.9,1.8,5,32,0,6.5,2.9,160000,130000,1400000,1250000,773237.4384,2.03,61,0.6,SA,1
28,68.4,2.7,7.1,34,29,5.5,3.5,260000,280000,1070000,1850000,1256935.263,0.95,101,0.6,SA,0
29,70.9,2,4.9,32,0,7.2,3.4,80000,30000,1700000,1640000,382894.5686,5.03,170,0.3,SA,1
30,87.8,2.6,8,35,30,12.1,10.8,170000,210000,5260000,9720000,824012.5139,7.22,32,0.5,SA,0
31,6,2,5.6,87,12,9.3,2.1,510000,90000,7790000,4040000,2488916.077,3.51,121,0.5,SA,0
32,15.7,2.2,4.9,32,0,2.8,2.2,50000,20000,260000,400000,257762.5487,1.13,160,0.6,IA,1
33,45,3,6.9,39,9,4.9,1.6,220000,30000,980000,730000,1065832.147,1.02,161,0.4,IA,0
34,69.5,3,6.6,54,10,9.8,2.3,340000,60000,5460000,2300000,1636177.109,3.68,178,0.4,IA,0
35,71.4,3.1,6,44,9,7.8,1.7,390000,110000,2750000,1250000,1942469.1,1.6,122,0.8,IA,0
36,70.2,3.2,6.4,32,0,9.2,2.9,210000,40000,2800000,1730000,1027629.176,3.06,162,0.4,IA,1
37,71.7,2.6,6.3,68,10,6,1.5,330000,40000,2540000,1410000,1614845.455,1.76,179,0.7,IA,0
