Cloud,v_LSR,Radius,err Radius,Line Width,err Line Width,Mass,LHCN,LHCO,LCS,alpha HCN,alpha HCO,alpha LCS,Mass from HCN,Mass from HCO,Mass from CS
1,309,43,1.698243652,25,1.096478196,25100000,650000,290000,370000,24,28,58,23660000,10556000,27898000
2,331,52,1.348962883,17,1.122018454,13300000,640000,470000,310000,24,28,58,23296000,17108000,23374000
3,285,34,1.148153621,24,1.380384265,37300000,1150000,1160000,560000,24,28,58,41860000,42224000,42224000
4,259,31,1.445439771,20,1.122018454,55800000,1380000,1250000,550000,24,28,58,50232000,45500000,41470000
5,271,28,1.047128548,20,2.089296131,6300000,220000,240000,90000,24,28,58,8008000,8736000,6786000
6,182,22,1.318256739,27,1.380384265,38500000,830000,720000,520000,24,28,58,30212000,26208000,39208000
7,177,30,1.174897555,31,2.041737945,14700000,890000,740000,400000,24,28,58,32396000,26936000,30160000
8,207,44,1.148153621,24,2.187761624,10800000,500000,430000,180000,24,28,58,18200000,15652000,13572000
9,193,11,1.122018454,13,2.754228703,2000000,60000,50000,30000,24,28,58,2184000,1820000,2262000
10,143,23,1.174897555,9,1.995262315,3500000,30000,50000,20000,24,28,58,1092000,1820000,1508000
