ncl,ra,dec,vlsr,vel disp,vel disp err,maj,min,R,R err,SCO,SCO err,mvir,mvir err,LCO,LCO err,mlum
2,"(-6.3,",-1.3),368,4.5,0.3,9.1,3.6,10.5,0.7,3.32,0.12,216000,40000,121048.0393,4375.230337,125889.9609
3,"(-3.6,",-0.9),368,2.7,0.5,6.6,1.6,4.6,0.7,0.77,0.09,34000,14000,28074.39466,3281.422753,29197.37045
4,"(-6.9,",-2.5),366,0.9,1.5,2.3,1.7,2.7,2.7,0.14,0.19,2000,7000,5104.435393,6927.448033,5308.612809
5,"(-1.2,",-1.3),368,2.3,0.5,3.3,2.1,4.2,1.1,0.47,0.1,24000,14000,17136.31882,3646.025281,17821.77157
6,"(-7.3,",-3.6),374,4,0.8,17.1,2,9.7,1.3,1.67,0.29,163000,79000,60888.62219,10573.47331,63324.16707
8,"(-1.7,",5.1),398,8.1,0.4,8.1,5.2,12.1,0.4,8.99,0.16,831000,104000,327777.6727,5833.640449,340888.7796
9,"(8.3,",-0.2),375,1.2,1.9,4.1,2,4.5,3.3,0.11,0.21,6000,21000,4010.627809,7656.653089,4171.052921
10,"(5.6,",7.1),377,1.7,1,1.7,1.6,1.7,2.5,0.11,0.13,5000,9000,4010.627809,4739.832865,4171.052921
11,"(-4.8,",-6.5),379,4.3,2.2,2.4,1.8,2.8,2.2,0.37,0.29,54000,82000,13490.29354,10573.47331,14029.90528
12,"(-5.4,",-1.4),376,1.4,2.1,2.1,2.2,3.1,3.2,0.17,0.26,6000,19000,6198.242977,9479.66573,6446.172696
13,"(-0.1,",-8.5),382,1.4,0.6,2.8,2.1,3.8,1.7,0.23,0.11,8000,8000,8385.858145,4010.627809,8721.292471
14,"(-3.8,",4.4),386,2.4,0.5,2.1,1.6,2.2,0.6,0.58,0.04,13000,7000,21146.94663,1458.410112,21992.82449
16,"(8.7,",0.4),384,2.2,2,2.4,1.9,3.1,3.5,0.1,0.18,15000,30000,3646.025281,6562.845505,3791.866292
17,"(-4.0,",1.6),387,6.3,5.3,7,1.7,4.9,4.4,0.47,0.68,200000,421000,17136.31882,24792.97191,17821.77157
18,"(-4.4,",4.5),386,2.4,2.9,2.9,1.7,3.1,2.7,0.2,0.19,18000,54000,7292.050561,6927.448033,7583.732584
19,"(-0.8,",1.9),388,2.2,0.5,2.3,1.8,2.8,0.9,0.37,0.06,14000,8000,13490.29354,2187.615168,14029.90528
20,"(5.0,",-6.4),389,2.1,1.5,6.6,1.5,3.7,2.2,0.22,0.19,16000,24000,8021.255617,6927.448033,8342.105842
22,"(-9.6,",10.3),389,1,0.4,5.2,2.5,6.2,1.6,0.65,0.15,7000,5000,23699.16432,5469.037921,24647.1309
23,"(6.4,",10.7),388,1.4,0.4,3.3,1.7,3.5,1,0.28,0.09,7000,5000,10208.87079,3281.422753,10617.22562
24,"(6.1,",11.0),388,1.3,0.6,2.5,1.9,3.2,1.3,0.14,0.06,5000,5000,5104.435393,2187.615168,5308.612809
25,"(-1.7,",12.4),388,0.7,0.5,2.2,1.5,1.9,1.3,0.13,0.07,1000,2000,4739.832865,2552.217696,4929.426179
26,"(-2.8,",1.2),390,1.5,0.6,2.4,1.8,3,2.3,0.18,0.13,7000,8000,6562.845505,4739.832865,6825.359325
27,"(0.3,",3.7),389,2.7,2.3,2.2,1.9,2.9,3.3,0.1,0.2,22000,49000,3646.025281,7292.050561,3791.866292
28,"(-0.6,",2.4),397,3.1,0.4,5.1,2.3,5.7,0.6,1.45,0.11,57000,18000,52867.36657,4010.627809,54982.06123
29,"(-0.5,",3.1),393,2,0.5,2.2,1.6,2.3,0.8,0.36,0.05,9000,6000,13125.69101,1823.01264,13650.71865
30,"(-4.4,",5.0),393,1.8,0.9,4.1,1.8,4,1.7,0.25,0.14,13000,16000,9115.063202,5104.435393,9479.66573
31,"(1.2,",7.0),396,2.7,0.5,3.1,2.6,4.8,1,0.81,0.09,37000,13000,29532.80477,3281.422753,30714.11696
32,"(-0.2,",7.2),397,3.3,0.3,3.4,3,5.6,0.7,1.53,0.08,64000,17000,55784.18679,2916.820224,58015.55427
33,"(6.0,",9.8),393,1.6,0.5,3.6,1.9,3.9,1.2,0.28,0.08,11000,7000,10208.87079,2916.820224,10617.22562
34,"(-4.9,",2.2),394,0.7,0.4,2.1,1.5,2,0.9,0.17,0.04,1000,1000,6198.242977,1458.410112,6446.172696
35,"(-1.5,",3.7),396,3.1,1.8,1.9,1.6,2,2.3,0.18,0.14,21000,33000,6562.845505,5104.435393,6825.359325
