GALAXY,CLOUDNUM,XCTR_DEG,YCTR_DEG,VCTR_KMS,RAD_PC,ECCEN,SIGV_KMS,FLUX_KKMS_PC2,MLUM_MSUN,MVIR_MSUN,new mlum,mlum aco 4.4
ngc4826,1.00E+00,1.94E+02,2.17E+01,5.72E+02,6.13E+01,6.81E-01,8.96E+00,9.41E+05,5.52E+06,5.33E+06,2.16E+06,8.66E+06
ngc4826,2.00E+00,1.94E+02,2.17E+01,5.74E+02,nan,nan,7.16E+00,4.11E+05,2.42E+06,nan,9.47E+05,3.79E+06
ngc4826,3.00E+00,1.94E+02,2.17E+01,5.20E+02,4.80E+01,6.44E-01,2.39E+01,5.10E+06,2.43E+07,3.18E+07,1.17E+07,4.69E+07
ngc4826,4.00E+00,1.94E+02,2.17E+01,5.59E+02,2.46E+01,9.78E-01,9.43E+00,5.62E+05,3.22E+06,2.54E+06,1.29E+06,5.18E+06
ngc4826,5.00E+00,1.94E+02,2.17E+01,5.62E+02,nan,nan,8.50E+00,2.29E+05,1.35E+06,nan,5.26E+05,2.10E+06
ngc4826,6.00E+00,1.94E+02,2.17E+01,5.54E+02,5.23E+01,3.32E-01,9.27E+00,5.61E+05,3.10E+06,5.13E+06,1.29E+06,5.17E+06
ngc4826,7.00E+00,1.94E+02,2.17E+01,5.49E+02,5.76E+01,5.38E-01,1.08E+01,9.65E+05,5.55E+06,7.44E+06,2.22E+06,8.88E+06
ngc4826,8.00E+00,1.94E+02,2.17E+01,5.40E+02,3.75E+01,7.71E-01,1.05E+01,8.46E+05,4.91E+06,4.84E+06,1.95E+06,7.79E+06
ngc4826,9.00E+00,1.94E+02,2.17E+01,5.50E+02,7.09E+01,6.66E-01,2.17E+01,3.33E+06,1.67E+07,3.43E+07,7.67E+06,3.07E+07
ngc4826,1.00E+01,1.94E+02,2.17E+01,5.41E+02,4.06E+01,9.12E-01,1.26E+01,5.56E+05,3.03E+06,7.42E+06,1.28E+06,5.12E+06
ngc4826,1.10E+01,1.94E+02,2.17E+01,5.56E+02,5.84E+01,6.09E-01,2.06E+01,1.19E+06,6.14E+06,2.73E+07,2.73E+06,1.09E+07
ngc4826,1.20E+01,1.94E+02,2.17E+01,5.45E+02,6.07E+01,8.62E-01,1.77E+01,9.17E+05,4.94E+06,2.06E+07,2.11E+06,8.44E+06
ngc4826,1.30E+01,1.94E+02,2.17E+01,5.25E+02,3.95E+01,9.42E-01,1.39E+01,4.96E+05,2.86E+06,8.80E+06,1.14E+06,4.56E+06
ngc4826,1.40E+01,1.94E+02,2.17E+01,5.17E+02,2.74E+01,8.97E-01,8.70E+00,4.04E+05,2.32E+06,2.41E+06,9.30E+05,3.72E+06
ngc4826,1.50E+01,1.94E+02,2.17E+01,5.10E+02,5.41E+01,7.06E-01,2.25E+01,1.83E+06,9.36E+06,3.10E+07,4.20E+06,1.68E+07
ngc4826,1.60E+01,1.94E+02,2.17E+01,5.10E+02,2.95E+01,7.55E-01,1.01E+01,3.16E+05,1.74E+06,3.46E+06,7.27E+05,2.91E+06
ngc4826,1.70E+01,1.94E+02,2.17E+01,5.06E+02,nan,nan,9.31E+00,4.15E+05,2.31E+06,nan,9.54E+05,3.82E+06
ngc4826,1.80E+01,1.94E+02,2.17E+01,4.90E+02,2.47E+01,9.74E-01,9.59E+00,4.37E+05,2.45E+06,2.64E+06,1.01E+06,4.03E+06
ngc4826,1.90E+01,1.94E+02,2.17E+01,4.96E+02,nan,nan,7.53E+00,2.18E+05,1.25E+06,nan,5.01E+05,2.01E+06
ngc4826,2.00E+01,1.94E+02,2.17E+01,4.75E+02,3.46E+01,9.13E-01,1.35E+01,4.38E+05,2.47E+06,7.35E+06,1.01E+06,4.03E+06
ngc4826,2.10E+01,1.94E+02,2.17E+01,4.82E+02,5.62E+01,8.76E-01,1.95E+01,9.59E+05,5.04E+06,2.38E+07,2.21E+06,8.83E+06
ngc4826,2.20E+01,1.94E+02,2.17E+01,4.71E+02,nan,nan,1.17E+01,3.37E+05,1.87E+06,nan,7.75E+05,3.10E+06
ngc4826,2.30E+01,1.94E+02,2.17E+01,4.49E+02,3.89E+01,9.23E-01,1.74E+01,5.57E+05,3.07E+06,1.36E+07,1.28E+06,5.13E+06
ngc4826,2.40E+01,1.94E+02,2.17E+01,4.44E+02,3.68E+01,8.69E-01,2.68E+01,1.71E+06,8.57E+06,3.08E+07,3.93E+06,1.57E+07
ngc4826,2.50E+01,1.94E+02,2.17E+01,4.38E+02,6.52E+01,9.23E-01,2.32E+01,2.09E+06,1.09E+07,3.71E+07,4.82E+06,1.93E+07
ngc4826,2.60E+01,1.94E+02,2.17E+01,4.57E+02,3.16E+01,9.22E-01,1.59E+01,1.94E+06,9.13E+06,9.31E+06,4.47E+06,1.79E+07
ngc4826,2.70E+01,1.94E+02,2.17E+01,4.31E+02,5.13E+01,8.77E-01,1.53E+01,6.15E+05,3.45E+06,1.37E+07,1.42E+06,5.66E+06
ngc4826,2.80E+01,1.94E+02,2.17E+01,4.04E+02,3.09E+01,9.54E-01,1.76E+01,2.11E+06,9.93E+06,1.12E+07,4.85E+06,1.94E+07
ngc4826,2.90E+01,1.94E+02,2.17E+01,3.99E+02,5.26E+01,6.87E-01,1.68E+01,9.36E+05,5.00E+06,1.70E+07,2.15E+06,8.62E+06
ngc4826,3.00E+01,1.94E+02,2.17E+01,3.89E+02,4.07E+01,9.94E-01,1.31E+01,1.64E+06,8.67E+06,8.10E+06,3.78E+06,1.51E+07
ngc4826,3.10E+01,1.94E+02,2.17E+01,3.79E+02,5.52E+01,8.20E-01,1.47E+01,5.64E+05,3.15E+06,1.33E+07,1.30E+06,5.19E+06
ngc4826,3.20E+01,1.94E+02,2.17E+01,3.66E+02,nan,nan,1.16E+01,7.22E+05,3.77E+06,nan,1.66E+06,6.64E+06
ngc4826,3.30E+01,1.94E+02,2.17E+01,3.30E+02,3.01E+01,9.35E-01,2.40E+01,3.84E+06,1.81E+07,2.02E+07,8.83E+06,3.53E+07
ngc4826,3.40E+01,1.94E+02,2.17E+01,3.55E+02,nan,nan,1.07E+01,3.10E+05,1.73E+06,nan,7.14E+05,2.86E+06
ngc4826,3.50E+01,1.94E+02,2.17E+01,3.51E+02,nan,nan,1.13E+01,8.30E+05,4.46E+06,nan,1.91E+06,7.64E+06
ngc4826,3.60E+01,1.94E+02,2.17E+01,3.54E+02,4.50E+01,8.87E-01,1.84E+01,1.70E+06,8.49E+06,1.76E+07,3.92E+06,1.57E+07
ngc4826,3.70E+01,1.94E+02,2.17E+01,3.38E+02,nan,nan,1.17E+01,2.71E+05,1.48E+06,nan,6.23E+05,2.49E+06
ngc4826,3.80E+01,1.94E+02,2.17E+01,3.19E+02,3.90E+01,8.97E-01,1.76E+01,1.32E+06,6.86E+06,1.41E+07,3.05E+06,1.22E+07
ngc4826,3.90E+01,1.94E+02,2.17E+01,3.22E+02,5.18E+01,8.31E-01,1.62E+01,1.32E+06,7.30E+06,1.56E+07,3.04E+06,1.22E+07
ngc4826,4.00E+01,1.94E+02,2.17E+01,3.15E+02,nan,nan,1.12E+01,2.21E+05,1.21E+06,nan,5.09E+05,2.04E+06
ngc4826,4.10E+01,1.94E+02,2.17E+01,3.09E+02,2.63E+01,9.83E-01,1.59E+01,1.08E+06,5.38E+06,7.74E+06,2.49E+06,9.96E+06
ngc4826,4.20E+01,1.94E+02,2.17E+01,2.75E+02,5.31E+01,9.12E-01,1.79E+01,3.75E+05,2.15E+06,1.94E+07,8.63E+05,3.45E+06
ngc4826,4.30E+01,1.94E+02,2.17E+01,2.92E+02,nan,nan,1.49E+01,4.29E+05,2.28E+06,nan,9.88E+05,3.95E+06
ngc4826,4.40E+01,1.94E+02,2.17E+01,2.85E+02,6.33E+01,9.34E-01,1.52E+01,2.80E+06,1.51E+07,1.57E+07,6.45E+06,2.58E+07
ngc4826,4.50E+01,1.94E+02,2.17E+01,2.77E+02,5.38E+01,6.34E-01,1.84E+01,3.16E+06,1.55E+07,2.05E+07,7.26E+06,2.91E+07
ngc4826,4.60E+01,1.94E+02,2.17E+01,2.68E+02,7.62E+01,8.33E-01,1.46E+01,8.98E+05,5.26E+06,1.63E+07,2.07E+06,8.27E+06
ngc4826,4.70E+01,1.94E+02,2.17E+01,2.68E+02,4.33E+01,9.88E-01,1.20E+01,1.14E+06,5.95E+06,7.26E+06,2.62E+06,1.05E+07
ngc4826,4.80E+01,1.94E+02,2.17E+01,2.58E+02,9.52E+01,7.46E-01,1.11E+01,3.16E+06,1.70E+07,1.09E+07,7.28E+06,2.91E+07
