GALAXY,CLOUDNUM,XCTR_DEG,YCTR_DEG,VCTR_KMS,RAD_PC,ECCEN,SIGV_KMS,FLUX_KKMS_PC2,MLUM_MSUN,MVIR_MSUN,new mlum
ngc5068,1.00E+00,2.00E+02,-2.10E+01,7.14E+02,nan,nan,4.43E+00,1.09E+05,1.44E+06,nan,1.00E+06
ngc5068,2.00E+00,2.00E+02,-2.10E+01,7.09E+02,5.73E+01,8.78E-01,3.27E+00,1.80E+05,2.37E+06,6.78E+05,1.66E+06
ngc5068,3.00E+00,2.00E+02,-2.10E+01,7.01E+02,6.12E+01,7.26E-01,4.71E+00,8.28E+04,1.19E+06,1.48E+06,7.62E+05
ngc5068,4.00E+00,2.00E+02,-2.10E+01,6.93E+02,7.24E+01,9.32E-01,7.44E+00,3.19E+05,4.29E+06,4.11E+06,2.94E+06
ngc5068,5.00E+00,2.00E+02,-2.10E+01,6.90E+02,6.14E+01,7.63E-01,4.88E+00,2.17E+05,2.58E+06,1.59E+06,2.00E+06
ngc5068,6.00E+00,2.00E+02,-2.10E+01,7.01E+02,1.73E+01,9.52E-01,1.62E+00,1.21E+04,1.71E+05,5.28E+04,1.12E+05
ngc5068,7.00E+00,2.00E+02,-2.10E+01,6.92E+02,9.24E+01,9.05E-01,4.92E+00,4.16E+05,5.28E+06,2.11E+06,3.83E+06
ngc5068,8.00E+00,2.00E+02,-2.10E+01,6.96E+02,nan,nan,2.55E+00,4.80E+04,7.22E+05,nan,4.42E+05
ngc5068,9.00E+00,2.00E+02,-2.10E+01,6.84E+02,5.12E+01,6.55E-01,7.18E+00,2.49E+05,3.91E+06,3.04E+06,2.29E+06
ngc5068,1.00E+01,2.00E+02,-2.10E+01,6.94E+02,4.53E+01,7.98E-01,nan,3.67E+04,5.54E+05,nan,3.38E+05
ngc5068,1.10E+01,2.00E+02,-2.10E+01,6.93E+02,5.13E+01,9.00E-01,3.84E+00,1.07E+05,1.31E+06,8.72E+05,9.83E+05
ngc5068,1.20E+01,2.00E+02,-2.10E+01,6.90E+02,nan,nan,9.00E-01,4.08E+04,4.37E+05,nan,3.76E+05
ngc5068,1.30E+01,2.00E+02,-2.10E+01,6.82E+02,8.99E+01,9.87E-01,1.23E+01,1.49E+05,1.23E+06,1.29E+07,1.37E+06
ngc5068,1.40E+01,2.00E+02,-2.10E+01,6.80E+02,4.29E+01,9.31E-01,5.98E+00,1.73E+05,2.60E+06,1.78E+06,1.59E+06
ngc5068,1.50E+01,2.00E+02,-2.10E+01,6.86E+02,nan,nan,2.78E+00,5.52E+04,6.84E+05,nan,5.08E+05
ngc5068,1.60E+01,2.00E+02,-2.10E+01,6.84E+02,nan,nan,3.88E-01,5.53E+04,5.19E+05,nan,5.09E+05
ngc5068,1.70E+01,2.00E+02,-2.10E+01,6.84E+02,5.99E+01,8.04E-01,2.21E+00,1.45E+05,1.40E+06,3.19E+05,1.34E+06
ngc5068,1.80E+01,2.00E+02,-2.10E+01,6.79E+02,6.67E+01,9.78E-01,2.50E+00,2.10E+05,1.96E+06,4.39E+05,1.93E+06
ngc5068,1.90E+01,2.00E+02,-2.10E+01,6.79E+02,5.62E+01,8.75E-01,2.34E+00,3.14E+05,2.99E+06,3.42E+05,2.89E+06
ngc5068,2.00E+01,2.00E+02,-2.10E+01,6.77E+02,nan,nan,2.69E+00,1.46E+05,1.20E+06,nan,1.34E+06
ngc5068,2.10E+01,2.00E+02,-2.10E+01,6.82E+02,nan,nan,nan,2.27E+04,1.96E+05,nan,2.09E+05
ngc5068,2.20E+01,2.00E+02,-2.10E+01,6.78E+02,4.72E+01,8.56E-01,4.20E+00,2.29E+05,3.51E+06,9.65E+05,2.11E+06
ngc5068,2.30E+01,2.00E+02,-2.10E+01,6.77E+02,5.92E+01,7.18E-01,1.80E+00,2.83E+05,2.80E+06,2.10E+05,2.60E+06
ngc5068,2.40E+01,2.00E+02,-2.10E+01,6.77E+02,4.95E+01,2.70E-01,3.56E+00,1.44E+05,1.15E+06,7.26E+05,1.33E+06
ngc5068,2.50E+01,2.00E+02,-2.10E+01,6.75E+02,nan,nan,1.49E+00,3.44E+04,3.26E+05,nan,3.16E+05
ngc5068,2.60E+01,2.00E+02,-2.10E+01,6.69E+02,nan,nan,4.81E+00,1.60E+05,1.35E+06,nan,1.47E+06
ngc5068,2.70E+01,2.00E+02,-2.10E+01,6.73E+02,4.38E+01,9.08E-01,3.23E+00,5.22E+04,4.51E+05,5.30E+05,4.81E+05
ngc5068,2.80E+01,2.00E+02,-2.10E+01,6.70E+02,nan,nan,3.76E-01,5.60E+04,6.35E+05,nan,5.15E+05
ngc5068,2.90E+01,2.00E+02,-2.10E+01,6.74E+02,nan,nan,4.64E+00,4.10E+04,3.68E+05,nan,3.77E+05
ngc5068,3.00E+01,2.00E+02,-2.10E+01,6.72E+02,nan,nan,4.05E+00,1.10E+05,8.56E+05,nan,1.02E+06
ngc5068,3.10E+01,2.00E+02,-2.10E+01,6.72E+02,4.46E+01,8.14E-01,2.14E+00,1.33E+05,1.30E+06,2.37E+05,1.22E+06
ngc5068,3.20E+01,2.00E+02,-2.10E+01,6.70E+02,3.64E+01,9.65E-01,3.73E+00,1.54E+05,1.37E+06,5.88E+05,1.42E+06
ngc5068,3.30E+01,2.00E+02,-2.10E+01,6.69E+02,3.75E+01,2.85E-01,1.47E+00,7.18E+04,5.36E+05,9.45E+04,6.61E+05
ngc5068,3.40E+01,2.00E+02,-2.10E+01,6.64E+02,4.76E+01,9.56E-01,3.44E+00,2.24E+05,2.05E+06,6.55E+05,2.07E+06
ngc5068,3.50E+01,2.00E+02,-2.10E+01,6.68E+02,5.16E+01,8.60E-01,1.28E+00,1.39E+05,1.17E+06,9.67E+04,1.28E+06
ngc5068,3.60E+01,2.00E+02,-2.10E+01,6.67E+02,nan,nan,4.79E+00,5.88E+04,5.93E+05,nan,5.41E+05
ngc5068,3.70E+01,2.00E+02,-2.10E+01,6.69E+02,nan,nan,nan,9.43E+03,7.57E+04,nan,8.68E+04
ngc5068,3.80E+01,2.00E+02,-2.10E+01,6.64E+02,8.86E+01,6.88E-01,4.96E+00,1.81E+05,1.41E+06,2.09E+06,1.66E+06
ngc5068,3.90E+01,2.00E+02,-2.10E+01,6.63E+02,6.65E+01,9.83E-01,6.33E+00,7.57E+04,5.41E+05,2.81E+06,6.97E+05
ngc5068,4.00E+01,2.00E+02,-2.10E+01,6.68E+02,4.46E+01,8.99E-01,4.34E+00,2.40E+05,1.84E+06,9.72E+05,2.21E+06
ngc5068,4.10E+01,2.00E+02,-2.11E+01,6.59E+02,7.77E+01,7.57E-01,2.68E+00,1.19E+05,1.25E+06,5.60E+05,1.09E+06
ngc5068,4.20E+01,2.00E+02,-2.10E+01,6.67E+02,5.19E+01,7.98E-01,4.03E+00,1.35E+05,1.03E+06,9.64E+05,1.24E+06
ngc5068,4.30E+01,2.00E+02,-2.11E+01,6.55E+02,4.85E+01,8.16E-01,5.45E+00,2.03E+05,2.09E+06,1.67E+06,1.87E+06
ngc5068,4.40E+01,2.00E+02,-2.11E+01,6.59E+02,nan,nan,5.95E-01,6.09E+04,5.85E+05,nan,5.61E+05
ngc5068,4.50E+01,2.00E+02,-2.11E+01,6.58E+02,3.64E+01,9.50E-01,4.63E+00,1.01E+05,1.20E+06,9.03E+05,9.31E+05
ngc5068,4.60E+01,2.00E+02,-2.11E+01,6.60E+02,4.11E+01,9.83E-01,2.18E+00,7.71E+04,8.78E+05,2.28E+05,7.10E+05
ngc5068,4.70E+01,2.00E+02,-2.10E+01,6.57E+02,8.81E+01,8.77E-01,2.64E+00,1.84E+05,1.52E+06,5.89E+05,1.69E+06
ngc5068,4.80E+01,2.00E+02,-2.10E+01,6.60E+02,6.14E+01,9.48E-01,nan,1.17E+05,9.69E+05,nan,1.07E+06
ngc5068,4.90E+01,2.00E+02,-2.10E+01,6.63E+02,nan,nan,3.63E+00,7.37E+04,6.46E+05,nan,6.78E+05
ngc5068,5.00E+01,2.00E+02,-2.10E+01,6.64E+02,5.25E+01,9.56E-01,3.96E+00,3.20E+05,2.44E+06,9.39E+05,2.95E+06
ngc5068,5.10E+01,2.00E+02,-2.11E+01,6.54E+02,6.70E+01,9.08E-01,3.86E+00,2.02E+05,2.25E+06,1.05E+06,1.86E+06
ngc5068,5.20E+01,2.00E+02,-2.11E+01,6.56E+02,nan,nan,1.99E+00,1.77E+05,1.51E+06,nan,1.63E+06
ngc5068,5.30E+01,2.00E+02,-2.10E+01,6.55E+02,6.80E+01,8.83E-01,1.47E+00,9.17E+04,9.89E+05,1.53E+05,8.45E+05
ngc5068,5.40E+01,2.00E+02,-2.10E+01,6.59E+02,nan,nan,2.27E+00,4.23E+04,3.79E+05,nan,3.90E+05
ngc5068,5.50E+01,2.00E+02,-2.10E+01,6.58E+02,nan,nan,nan,3.75E+04,3.02E+05,nan,3.45E+05
ngc5068,5.60E+01,2.00E+02,-2.11E+01,6.47E+02,1.03E+02,8.73E-01,3.77E+00,1.69E+05,1.86E+06,1.33E+06,1.55E+06
ngc5068,5.70E+01,2.00E+02,-2.11E+01,6.54E+02,1.20E+02,7.35E-01,nan,1.11E+05,1.20E+06,nan,1.02E+06
ngc5068,5.80E+01,2.00E+02,-2.10E+01,6.52E+02,4.81E+01,9.87E-01,7.32E+00,1.57E+05,1.30E+06,2.99E+06,1.45E+06
ngc5068,5.90E+01,2.00E+02,-2.11E+01,6.50E+02,nan,nan,3.48E+00,6.45E+04,6.93E+05,nan,5.94E+05
ngc5068,6.00E+01,2.00E+02,-2.11E+01,6.49E+02,4.62E+01,8.10E-01,4.21E+00,4.41E+04,3.80E+05,9.48E+05,4.06E+05
ngc5068,6.10E+01,2.00E+02,-2.11E+01,6.49E+02,nan,nan,2.14E+00,5.85E+04,6.62E+05,nan,5.38E+05
ngc5068,6.20E+01,2.00E+02,-2.11E+01,6.45E+02,2.63E+01,7.67E-01,3.11E+00,1.14E+05,1.07E+06,2.97E+05,1.05E+06
ngc5068,6.30E+01,2.00E+02,-2.10E+01,6.48E+02,nan,nan,6.23E+00,7.04E+04,7.75E+05,nan,6.48E+05
ngc5068,6.40E+01,2.00E+02,-2.10E+01,6.51E+02,nan,nan,4.78E+00,3.65E+04,3.04E+05,nan,3.36E+05
ngc5068,6.50E+01,2.00E+02,-2.11E+01,6.48E+02,3.64E+01,8.05E-01,4.10E+00,2.77E+05,2.70E+06,7.10E+05,2.55E+06
ngc5068,6.60E+01,2.00E+02,-2.11E+01,6.39E+02,nan,nan,6.52E+00,2.00E+05,1.92E+06,nan,1.84E+06
ngc5068,6.70E+01,2.00E+02,-2.11E+01,6.46E+02,nan,nan,nan,2.94E+04,3.48E+05,nan,2.70E+05
ngc5068,6.80E+01,2.00E+02,-2.11E+01,6.42E+02,7.58E+01,7.50E-01,7.79E-01,1.17E+05,1.20E+06,4.65E+04,1.07E+06
ngc5068,6.90E+01,2.00E+02,-2.11E+01,6.43E+02,6.20E+01,9.15E-01,3.67E+00,2.16E+05,1.98E+06,9.03E+05,1.98E+06
ngc5068,7.00E+01,2.00E+02,-2.10E+01,6.48E+02,nan,nan,4.93E+00,5.67E+04,4.74E+05,nan,5.22E+05
ngc5068,7.10E+01,2.00E+02,-2.11E+01,6.38E+02,9.10E+01,8.66E-01,5.89E+00,1.51E+05,1.91E+06,3.00E+06,1.39E+06
ngc5068,7.20E+01,2.00E+02,-2.11E+01,6.43E+02,6.72E+01,8.99E-01,3.83E+00,3.66E+05,3.52E+06,1.04E+06,3.37E+06
ngc5068,7.30E+01,2.00E+02,-2.11E+01,6.31E+02,6.30E+01,9.43E-01,2.13E+00,8.70E+04,1.10E+06,3.08E+05,8.01E+05
ngc5068,7.40E+01,2.00E+02,-2.11E+01,6.39E+02,nan,nan,5.07E+00,5.97E+04,5.47E+05,nan,5.50E+05
