ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco.value, errlumco,COmax.value,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,637,747,25,345,166,506,1.221e+18,1.185e+13,16461306000000.0,1.328e+18,1.328e+17,1,0.8,6.712,0.2029,51.54,29.61,46.43,26.02,2.844e+04,11,1.961e+14,2.085e+13,3.505e+17,5.906e+17,1.825e-12,1.044e-12
2,2,405,218,43,345,171,524,1.091e+18,1.206e+13,12492693000000.0,1.187e+18,1.187e+17,1,0.8,5.466,0.1797,78.6,23.04,53.93,60.18,2.93e+04,1178,1.299e+14,1.529e+13,1.326e+17,4.441e+17,1.573e-12,1.765e-12
3,2,809,667,31,345,67,221,4.51e+17,7.83e+12,11003231000000.0,4.907e+17,4.907e+16,1,0.8,5.644,0.229,32.9,25.72,18.96,17.03,1.148e+04,628.3,4.345e+14,7.55e+13,1.345e+18,3.628e+18,1.426e-12,1.294e-12
4,2,553,247,40,345,71,209,4.364e+17,7.614e+12,9956119000000.0,4.748e+17,4.748e+16,1,0.8,4.826,0.1732,28.81,37.05,30.73,6.964,1.217e+04,680.7,1.6e+14,1.639e+13,2.234e+17,1.544e+17,1.746e-12,4.502e-13
5,2,406,557,31,345,101,253,4.771e+17,8.377e+12,8549112500000.0,5.191e+17,5.191e+16,1,0.8,4.105,0.16,63.26,39.05,68.19,26.82,1.731e+04,706.9,3.553e+13,3.606e+12,1.618e+16,1.919e+16,2.564e-12,1.059e-12
6,2,373,496,37,345,126,286,5.299e+17,8.907e+12,8509144000000.0,5.765e+17,5.765e+16,1,0.8,5.918,0.2747,90.03,32.08,75.87,30.36,2.159e+04,1021,3.188e+13,3.228e+12,2.711e+16,3.276e+16,5.339e-12,2.257e-12
7,2,534,475,30,345,149,363,6.918e+17,1.003e+13,8427387500000.0,7.527e+17,7.527e+16,1,0.8,4.218,0.1829,41.4,92.8,90.96,57.45,2.553e+04,1073,2.896e+13,2.958e+12,1.043e+16,1.981e+16,2.49e-12,1.607e-12
8,2,376,210,45,345,118,275,4.921e+17,8.734e+12,7353746300000.0,5.355e+17,5.355e+16,1,0.8,4.123,0.1637,61.47,67.92,95.68,26.61,2.022e+04,1152,1.862e+13,1.869e+12,6.093e+15,5.143e+15,3.518e-12,1.077e-12
9,2,560,457,31,345,159,303,5.863e+17,9.168e+12,7106804600000.0,6.379e+17,6.379e+16,1,0.8,4.024,0.1495,51.25,113.6,116.2,36.65,2.724e+04,1257,1.503e+13,1.508e+12,3.858e+15,3.681e+15,3.417e-12,1.159e-12
10,2,361,533,33,345,238,439,7.525e+17,1.104e+13,7050442000000.0,8.187e+17,8.187e+16,1,0.8,5.201,0.2763,63.06,256.3,202.1,182,4.078e+04,2251,6.383e+12,6.44e+11,1.574e+15,4.26e+15,7.732e-12,7.057e-12
11,2,135,2,13,345,132,241,4.257e+17,8.176e+12,7036173000000.0,4.631e+17,4.631e+16,1,0.8,4.358,0.232,75.96,43.1,82.3,37.14,2.262e+04,1113,2.177e+13,2.206e+12,9.253e+15,1.26e+16,3.909e-12,1.854e-12
12,2,892,528,12,345,169,222,3.673e+17,7.847e+12,6974121000000.0,3.997e+17,3.997e+16,1,0.8,3.526,0.1784,52,96.68,106.8,31.59,2.896e+04,178,1.115e+13,1.119e+12,2.392e+15,2.15e+15,3.848e-12,1.263e-12
13,2,152,4,11,345,133,209,3.563e+17,7.614e+12,6824835000000.0,3.876e+17,3.876e+16,1,0.8,4.549,0.2765,53.42,23.89,38.67,33.1,2.279e+04,968.7,8.25e+13,9.902e+12,8.132e+16,2.092e+17,2.391e-12,2.081e-12
14,2,496,590,32,345,113,251,4.578e+17,8.344e+12,6769603500000.0,4.981e+17,4.981e+16,1,0.8,4.339,0.224,63.22,53.65,84.18,27.06,1.936e+04,785.4,2.237e+13,2.252e+12,9.218e+15,8.988e+15,3.686e-12,1.298e-12
15,2,822,698,29,345,68,215,3.683e+17,7.723e+12,6691873000000.0,4.007e+17,4.007e+16,1,0.8,9.265,0.4457,34.07,26.04,21.63,18.12,1.165e+04,628.3,2.726e+14,4.179e+13,1.993e+18,5.017e+18,5.367e-12,4.557e-12
16,2,3,108,63,345,141,237,3.884e+17,8.108e+12,6068259000000.0,4.225e+17,4.225e+16,1,0.8,4.486,0.2539,39.75,105.9,96.16,35.5,2.416e+04,994.8,1.455e+13,1.464e+12,5.608e+15,6.268e+15,5.305e-12,2.116e-12
17,2,5,426,45,345,152,322,5.324e+17,9.451e+12,5640528000000.0,5.792e+17,5.792e+16,1,0.8,6.146,0.3266,36.68,62.52,64.67,27.88,2.604e+04,1388,4.408e+13,4.496e+12,4.743e+16,6.173e+16,4.884e-12,2.223e-12
18,2,552,5,15,345,177,254,3.983e+17,8.394e+12,5592285000000.0,4.333e+17,4.333e+16,1,0.8,3.549,0.183,119.3,67.28,139.1,50.1,3.033e+04,1571,7.132e+12,7.154e+11,1.19e+15,1.297e+15,4.681e-12,1.816e-12
