ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
0,0,685,1613,24,12h01m54.4395s -18d53m11.466s,1,6.04E+04,4.04E+05,5.52E+07,1105,34.800674,5.46E+07,5.46E+06,0.9090909091,0.8,89.65,5.075,258.1,101.8,262.9,89.72,1.35E+05,6248,251.5,25.17,1.42E+07,1.47E+07,44.81,16.72,7.70E+07,17.36
1,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,3.66E+04,2.67E+05,3.84E+07,899.3,34.800674,3.80E+07,3.80E+06,0.9090909091,0.8,88.39,4.841,242.8,85.87,234.1,90.7,8.17E+04,4226,220.6,22.09,1.36E+07,1.59E+07,55.78,23.14,5.84E+07,18.03
2,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,2.02E+04,1.70E+05,2.40E+07,716.5,34.800674,2.37E+07,2.37E+06,0.9090909091,0.8,55.63,2.284,119.1,92.63,169.8,50.21,4.50E+04,2246,261.7,26.21,8.78E+06,7.87E+06,25.67,8.283,3.42E+07,17.81
3,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,3.78E+04,2.91E+05,4.21E+07,939.2,34.800674,4.16E+07,4.16E+06,0.9090909091,0.8,88.9,4.913,259.2,96.11,255.9,151.1,8.42E+04,4079,202.3,20.28,1.15E+07,2.05E+07,56.26,34.25,6.15E+07,18.11
4,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,1.37E+04,1.15E+05,1.77E+07,589.3,34.800674,1.75E+07,1.75E+06,0.9090909091,0.8,54.3,2.288,29.02,101.7,86.52,60.37,3.06E+04,1523,743,76.45,4.66E+07,9.78E+07,16.91,12,2.66E+07,18.99
5,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,1.17E+04,1.01E+05,1.61E+07,552.6,34.800674,1.59E+07,1.59E+06,0.9090909091,0.8,51.92,2.074,28.43,101.7,85.6,58.46,2.62E+04,123,691.4,71.09,4.01E+07,8.23E+07,16.79,11.67,2.47E+07,19.5
6,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,1.05E+04,8.00E+04,1.37E+07,492.2,34.800674,1.35E+07,1.35E+06,0.9090909091,0.8,50.38,2.027,28.25,100.2,84.67,62.58,2.34E+04,1123,6,62.02,3.31E+07,7.36E+07,18.42,13.82,2.17E+07,20.54
7,2,507,1864,13,12h01m54.1919s -18d53m11.62s,1,226,1.64E+04,2.86E+06,223.1,24.83971,2.83E+06,2.83E+05,0.9090909091,0.8,31.99,1.289,17.45,33.21,34.94,13.51,5039,391.2,737.2,77.68,3.98E+07,4.64E+07,14.64,5.967,2.01E+06,20.86
8,1,762,1669,13,12h01m54.3843s -18d53m11.62s,1,4719,2.87E+04,3.74E+06,294.8,27.374504,3.70E+06,3.70E+05,0.9090909091,0.8,52.59,2.569,56.29,15.84,45.23,26.99,1.05E+04,863.1,575.9,61.94,6.49E+07,1.17E+08,39.14,23.99,4.50E+06,16.82
9,0,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,6.28E+04,3.68E+05,5.73E+07,1056,28.44041,5.99E+07,5.99E+06,0.9615384615,0.8,123.5,5.825,19.66,30.69,35.84,6.911,1.89E+05,6325,1.49E+04,1504,1.16E+01,6.92E+09,10.56,2.502,7.32E+07,12.71
10,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.51E+04,3.18E+05,4.37E+07,981,21.104567,4.57E+07,4.57E+06,0.9615384615,0.8,69.32,2.87,144.1,61.98,152.6,63.64,1.52E+05,5187,624.1,62.62,3.62E+07,4.55E+07,18.6,8.124,5.77E+07,13.02
11,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.66E+04,3.21E+05,4.51E+07,986.1,21.104567,4.72E+07,4.72E+06,0.9615384615,0.8,69.31,2.869,146.5,62.34,154.4,65.32,1.59E+05,551,630.1,63.22,3.61E+07,4.61E+07,18.21,8.059,5.96E+07,12.94
12,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.41E+04,3.16E+05,3.96E+07,978,21.104567,4.14E+07,4.14E+06,0.9615384615,0.8,69.39,2.877,137.8,58.62,145.1,77.29,1.39E+05,5137,626.8,63.06,3.83E+07,6.15E+07,19.52,10.71,5.22E+07,13.33
13,1,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,6.13E+04,3.64E+05,5.25E+07,105,28.44041,5.49E+07,5.49E+06,0.9615384615,0.8,115.6,5.354,18.86,30.48,34.76,4.314,1.73E+05,6182,1.45E+04,1454,1.02E+01,4.06E+09,9.799,1.806,6.67E+07,13
14,2,663,1648,11,12h01m54.405s -18d53m11.648s,1,399,1153,1.57E+05,60.12,16.82672,1.55E+05,1.55E+04,0.9090909091,0.8,14.19,0.6924,13.06,7.969,nan,5.257,889.7,152.3,nan,nan,nan,nan,nan,nan,1.40E+05,17.33
15,1,762,1669,13,12h01m54.3843s -18d53m11.62s,1,3738,2.26E+04,3.14E+06,262,27.374504,3.11E+06,3.11E+05,0.9090909091,0.8,48.14,2.469,54.87,16.54,45.7,32.88,8335,654,473.9,52.41,4.43E+07,9.58E+07,39.46,28.95,3.87E+06,17.59
16,2,762,1669,13,12h01m54.3843s -18d53m11.62s,1,1758,7109,1.19E+06,147.1,27.374504,1.18E+06,1.18E+05,0.9090909091,0.8,17.05,0.7253,27.12,16.92,30.04,14.31,392,340.5,415.3,45.99,7.40E+06,1.06E+07,8.59,4.245,2.26E+06,20.23
17,1,649,1708,14,12h01m54.3458s -18d53m11.606s,1,1766,1.00E+04,2.08E+06,174.6,25.897938,2.05E+06,2.05E+05,0.9090909091,0.8,33.86,1.707,14.02,25.67,25.31,12.81,3938,391.2,102,118.9,8.51E+07,1.30E+08,16.37,8.605,3.28E+06,23.86
18,2,649,1708,14,12h01m54.3458s -18d53m11.606s,1,1499,8009,1.68E+06,156.1,25.897938,1.66E+06,1.66E+05,0.9090909091,0.8,24.12,1.073,14.03,29.44,27.94,17.2,3342,358.4,675.9,81.01,2.59E+07,4.80E+07,11.35,7.151,2.70E+06,24.07
19,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.52E+04,3.18E+05,4.38E+07,981.3,21.104567,4.58E+07,4.58E+06,0.9615384615,0.8,69.33,2.871,144.3,62.04,152.8,64.83,1.53E+05,5223,624.4,62.66,3.62E+07,4.63E+07,18.57,8.241,5.79E+07,13.01
20,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.18E+04,3.10E+05,3.68E+07,969,21.104567,3.85E+07,3.85E+06,0.9615384615,0.8,67.75,2.831,136,59.48,145.2,66.69,1.27E+05,476,580.9,58.35,3.38E+07,4.69E+07,20.07,9.586,4.84E+07,13.52
21,2,1268,1492,16,12h01m54.5589s -18d53m11.578s,2,227,444,5.17E+04,38.32,9.807988,5.41E+04,5407,0.9615384615,0.8,13.97,0.6396,9.888,6.055,nan,2.732,653.3,137.4,nan,nan,nan,nan,nan,nan,6.74E+04,12.36
22,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.10E+04,3.09E+05,3.40E+07,966.6,21.104567,3.56E+07,3.56E+06,0.9615384615,0.8,67.78,2.835,137.3,59.17,145.4,60.21,1.19E+05,4677,535.7,53.77,3.12E+07,3.89E+07,21.74,9.438,4.48E+07,13.75
23,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,4.86E+04,3.03E+05,3.27E+07,957.2,21.104567,3.42E+07,3.42E+06,0.9615384615,0.8,62.89,2.684,136,58.61,144,64.58,1.12E+05,4235,525.2,52.75,2.66E+07,3.59E+07,19.28,9.007,4.31E+07,13.84
24,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,5.09E+04,3.08E+05,3.38E+07,965.9,21.104567,3.53E+07,3.53E+06,0.9615384615,0.8,62.87,2.684,136.3,58.91,144.6,62.61,1.18E+05,4686,537.7,53.99,2.71E+07,3.54E+07,18.75,8.485,4.45E+07,13.77
25,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,4.66E+04,2.90E+05,2.96E+07,937.4,21.104567,3.09E+07,3.09E+06,0.9615384615,0.8,59.84,2.6,136.8,56.83,142.2,56.95,1.04E+05,4501,486.3,48.81,2.26E+07,2.73E+07,19.08,8.049,3.88E+07,14.13
26,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,4.40E+04,2.81E+05,2.86E+07,921.4,21.104567,3.00E+07,3.00E+06,0.9615384615,0.8,59.82,2.596,135.7,56.58,141.3,50.19,9.81E+04,3918,477.2,47.86,2.23E+07,2.39E+07,19.56,7.413,3.79E+07,14.16
27,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,3.83E+04,2.15E+05,2.32E+07,807.3,21.104567,2.43E+07,2.43E+06,0.9615384615,0.8,59.8,2.582,135.7,54.83,139.1,74.31,8.54E+04,3745,4,40.26,1.89E+07,3.05E+07,23.7,13.04,3.06E+07,14.71
28,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,3.72E+04,2.08E+05,2.26E+07,794.2,21.104567,2.36E+07,2.36E+06,0.9615384615,0.8,59.65,2.558,134.1,53.74,136.9,38.58,8.30E+04,3557,401.7,40.25,1.92E+07,1.65E+07,23.86,7.424,2.97E+07,14.76
29,1,685,1613,24,12h01m54.4395s -18d53m11.466s,1,4812,2.32E+04,4.87E+06,264.9,34.800674,4.81E+06,4.81E+05,0.9090909091,0.8,30.01,1.2,20.86,38.13,42.32,13.52,1.07E+04,758.6,855.6,87.73,3.35E+07,3.24E+07,9.169,3.156,9.39E+06,24.15
30,2,1311,1547,17,12h01m54.5046s -18d53m11.564s,2,488,836,1.66E+05,51.52,11.724007,1.74E+05,1.74E+04,0.9615384615,0.8,10.18,0.4267,10.77,22.82,18.43,14.42,2274,316.6,163.1,26.41,1.69E+06,3.97E+06,12.72,10.09,3.00E+05,11.82
31,2,1213,1418,22,12h01m54.6319s -18d53m11.494s,2,111,131,8.41E+04,22.82,8.403061,8.80E+04,8802,0.9615384615,0.8,15.82,0.7471,27.97,6.693,13.58,24.2,1151,227,152,61.78,5.17E+06,2.76E+07,44.72,79.95,9.32E+04,10.84
32,2,1338,1596,18,12h01m54.4563s -18d53m11.55s,1,31,549,1.06E+05,42.26,11.5801,1.05E+05,1.05E+04,0.9090909091,0.8,11.7,0.4789,13.71,10.61,8.6,5.837,1275,182.2,451.9,116.2,1.32E+07,2.70E+07,12.98,8.966,1.20E+05,11.98
33,2,1151,1655,17,12h01m54.3981s -18d53m11.564s,1,324,51,9.15E+04,40.84,9.935446,9.05E+04,9047,0.9090909091,0.8,5.086,0.169,11.31,20.77,17.62,9.739,1518,235.9,92.72,12.73,2.51E+05,4.17E+05,5.835,3.3,1.49E+05,11.91
34,2,1355,1467,19,12h01m54.5836s -18d53m11.536s,2,96,139,2.61E+04,23.35,9.095507,2.73E+04,2732,0.9615384615,0.8,5.002,0.1594,11.47,7.371,nan,6.039,459.3,98.55,nan,nan,nan,nan,nan,nan,4.88E+04,11.6
35,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,3.26E+04,1.63E+05,1.85E+07,701.7,21.104567,1.93E+07,1.93E+06,0.9615384615,0.8,41.88,1.942,136.7,55.54,140.6,79.49,7.28E+04,3321,311.6,31.38,7.16E+06,1.22E+07,14.76,8.588,2.42E+07,15.25
36,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,2.97E+04,1.43E+05,1.66E+07,657.9,21.104567,1.74E+07,1.74E+06,0.9615384615,0.8,41.85,1.935,136.7,54.08,138.7,35.15,6.62E+04,3312,287.5,28.79,6.69E+06,5.17E+06,16.2,4.662,2.17E+07,15.48
37,1,1276,1478,24,12h01m54.5727s -18d53m11.466s,2,2282,8,9.72E+05,156,17.067831,1.02E+06,1.02E+05,0.9615384615,0.8,21.82,0.8967,19.96,23.11,30.14,7.06,5088,480.8,356.4,36.59,1.04E+07,7.41E+06,16.34,4.373,1.76E+06,15.99
38,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,2.82E+04,1.33E+05,1.56E+07,634.6,21.104567,1.64E+07,1.64E+06,0.9615384615,0.8,41.85,1.934,130.7,51.33,132,33.64,6.29E+04,3267,299,29.95,7.31E+06,5.68E+06,16.36,4.729,2.05E+07,15.62
39,2,1279,1432,20,12h01m54.6181s -18d53m11.522s,2,371,827,9.91E+04,51.26,14.613063,1.04E+05,1.04E+04,0.9615384615,0.8,6.721,0.2415,8.459,12.56,nan,5.633,827.2,140.4,nan,nan,nan,nan,nan,nan,1.48E+05,15.83
40,2,1364,1492,25,12h01m54.5589s -18d53m11.452s,2,398,1183,1.79E+05,60.87,9.730367,1.87E+05,1.88E+04,0.9615384615,0.8,19.15,0.8819,12.48,7.654,nan,7.444,1556,262.8,nan,nan,nan,nan,nan,nan,2.46E+05,12.13
41,2,1276,1478,24,12h01m54.5727s -18d53m11.466s,2,1798,6579,8.15E+05,141.6,17.067831,8.53E+05,8.53E+04,0.9615384615,0.8,16.89,0.6878,19.55,22.72,29.38,7.253,4009,394.2,314.3,32.42,5.63E+06,4.23E+06,11.39,3.173,1.52E+06,16.21
42,2,811,1685,28,12h01m54.3685s -18d53m11.41s,1,793,4372,6.66E+05,115.6,20.464458,6.59E+05,6.59E+04,0.9090909091,0.8,29.16,1.269,15.29,10.69,11.02,6.516,1768,235.9,1727,327.1,2.45E+08,4.37E+08,16.48,9.984,2.63E+05,18.85
43,2,1220,1609,23,12h01m54.4435s -18d53m11.48s,1,1322,3129,4.22E+05,97.96,10.968904,4.17E+05,4.17E+04,0.9090909091,0.8,13.94,0.6299,22.04,14.69,23.35,9.981,3898,358.4,243.4,27.77,3.73E+06,4.81E+06,12.61,5.65,5.16E+05,12.5
44,2,750,1632,23,12h01m54.4208s -18d53m11.48s,1,204,466,5.56E+04,39.18,13.403115,5.50E+04,55,0.9090909091,0.8,8.594,0.3548,6.445,8.44,nan,0.9949,454.9,116.5,nan,nan,nan,nan,nan,nan,6.64E+04,15.79
45,1,1119,1357,33,12h01m54.6921s -18d53m11.34s,2,2.61E+04,1.21E+05,1.43E+07,605.1,21.104567,1.49E+07,1.49E+06,0.9615384615,0.8,37.98,1.686,45.77,88.53,102,36.1,5.81E+04,3028,457.2,45.97,1.19E+07,1.28E+07,11.41,4.317,1.82E+07,15.66
46,2,685,1613,24,12h01m54.4395s -18d53m11.466s,1,1709,6435,1.69E+06,14,34.800674,1.67E+06,1.67E+05,0.9090909091,0.8,15.49,0.6994,21.05,21.51,29.77,2.033,3811,456.9,600.4,60.19,8.92E+06,2.19E+06,4.951,0.7478,4.36E+06,28.92
