ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
0,0,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,2.26E+04,6.63E+04,5.66E+06,123.6,8.4534025,1.62E+08,1.62E+07,26.36363636,0.8,94.67,7.405,84.83,217.8,220.2,121.9,1.33E+05,6705,1066,106.9,7.99E+07,1.34E+08,14.07,8.216
1,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,1.85E+04,5.69E+04,4.23E+06,114.6,8.4534025,1.21E+08,1.21E+07,26.36363636,0.8,92.34,7.241,68.31,215.7,196.5,148.5,8.16E+04,4312,999.5,100.6,7.99E+07,1.82E+08,16,12.45
2,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,8604,2.88E+04,2.47E+06,81.87,8.4534025,7.09E+07,7.09E+06,26.36363636,0.8,54.79,2.894,87.5,63.26,119.6,34.06,4.50E+04,2291,1577,158.1,7.29E+07,6.31E+07,5.864,1.875
3,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,1.89E+04,5.79E+04,4.46E+06,115.5,8.4534025,1.28E+08,1.28E+07,26.36363636,0.8,90.76,6.942,78.08,207,205.9,53.17,8.41E+04,4166,960.9,96.16,7.08E+07,5.64E+07,15.35,4.855
4,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,7341,2.49E+04,1.89E+06,76.2,8.4534025,5.42E+07,5.42E+06,26.36363636,0.8,54.86,2.914,28.84,87.59,79.78,52.79,3.06E+04,1523,2708,279.1,1.88E+08,3.75E+08,5.136,3.48
5,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,7162,2.46E+04,1.74E+06,75.73,8.4534025,4.98E+07,4.98E+06,26.36363636,0.8,53.23,2.905,29.2,87.17,80.1,54.78,2.62E+04,1242,2472,255.1,1.61E+08,3.31E+08,5.275,3.691
6,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,695,2.40E+04,1.50E+06,74.91,8.4534025,4.31E+07,4.31E+06,26.36363636,0.8,51.74,2.945,28.69,87.15,79.35,57.56,2.34E+04,1123,2177,225.7,1.35E+08,2.95E+08,5.713,4.234
7,2,508,1904,21,12h01m54.1525s -18d53m11.5085s,1,311,328,1.46E+05,14.12,2.843526,4.19E+06,4.19E+05,26.36363636,0.8,24.86,1.228,18.32,37.38,38.72,14.58,4975,394.2,889.1,92.61,2.61E+07,2.98E+07,6.616,2.66
8,1,759,1668,13,12h01m54.3853s -18d53m11.6206s,1,1113,359,3.37E+05,30.73,5.1022654,9.66E+06,9.66E+05,26.36363636,0.8,19.81,1.243,24.06,18.32,29.23,6.824,1.05E+04,872,3599,37,8.90E+07,6.40E+07,1.376,0.3897
9,0,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,5.88E+06,34.77,3.7053874,1.60E+08,1.60E+07,25,0.8,132,9.154,154.6,125.5,225.7,43.83,1.89E+05,6412,999.8,1,1.42E+08,8.63E+07,28.45,7.361
