ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,1312,1346,41,2,0,0,1.793e+05,11.15,1.851,4.661e+06,4.661e+05,25,0.8,46.53,2.131,18.56,28.44,32.93,7.935,4901,403.2,1368,140.1,1.657e+08,1.219e+08,17.72,4.899
2,2,685,1612,24,1,3753,1.11e+04,8.587e+05,51.58,8.453,2.355e+07,2.355e+06,26.36,0.8,27.67,0.989,17.53,35.25,36.37,16.92,1.463e+04,797.4,5667,606.9,2.198e+08,3.079e+08,1.37,0.6592
3,2,1129,1332,32,2,216,242,8.203e+05,13.4,2.654,2.133e+07,2.133e+06,25,0.8,32.04,0.8427,41.68,51.55,73.26,26.87,2.909e+04,1493,1265,127.9,3.265e+07,3.612e+07,4.084,1.567
4,2,759,1668,13,1,911,2586,1.851e+05,26.74,5.102,5.074e+06,5.074e+05,26.36,0.8,18.24,0.8078,17.44,18.28,23.07,4.658,4388,352.4,3035,313.8,8.065e+07,5.002e+07,1.752,0.4241
5,2,1206,1475,28,2,196,196,7.876e+05,13,2.738,2.048e+07,2.048e+06,25,0.8,30.04,0.8352,63.03,38.7,78.33,30.34,3.207e+04,1562,1062,107.4,2.255e+07,2.633e+07,3.999,1.615
6,2,1353,1477,32,2,282,282,2.517e+05,13.74,2.622,6.545e+06,6.545e+05,25,0.8,19.12,0.6778,56.84,30.27,65.09,16.29,1.239e+04,866.1,491.8,49.5,5.088e+06,3.87e+06,4.211,1.173
7,2,1054,442,41,345,1695,6584,3.121e+05,40.36,8.997,5.512e+06,5.512e+05,16.98,0.8,14.93,0.4418,23.58,14.65,24.54,10.32,4428,459.9,2913,327.5,4.872e+07,6.169e+07,1.149,0.5012
8,2,1281,1480,25,2,536,1029,1.557e+05,18.96,3.705,4.047e+06,4.047e+05,25,0.8,29.57,1.36,16.57,23.89,27.13,8.359,5345,474.8,1750,184.9,1.039e+08,9.704e+07,6.79,2.286
9,2,1440,616,34,345,714,1475,6.445e+04,21.48,4.557,1.138e+06,1.138e+05,16.98,0.8,14,0.482,10.1,15.2,9.772,3.798,1788,265.8,3794,590.6,1.401e+08,1.642e+08,1.948,0.7933
10,2,1131,407,38,345,3368,1.384e+04,6.514e+05,57.33,8.303,1.15e+07,1.15e+06,16.98,0.8,18.26,0.4825,38.76,17.67,38.72,13.63,9403,761.5,2442,253.1,3.875e+07,4.115e+07,1.3,0.4806
11,2,1122,1419,28,2,0,0,7.517e+04,11.15,1.666,1.954e+06,1.954e+05,25,0.8,19.11,0.9994,32.29,20.61,38.06,14.53,5039,516.7,429.4,44.84,7.589e+06,8.762e+06,8.238,3.364
12,2,665,1709,8,1,1931,6169,4.662e+05,39.16,3.873,1.278e+07,1.278e+06,26.36,0.8,43.75,2.995,42.49,21.68,46.08,14.57,7247,552.5,1916,195.6,1.466e+08,1.412e+08,7.99,2.867
13,2,1332,1426,32,2,0,0,6.477e+04,11.15,2.108,1.684e+06,1.684e+05,25,0.8,13.39,0.5672,12.23,26.3,23.23,14.39,3155,328.5,993.1,127.2,1.411e+07,2.627e+07,2.863,1.812
14,2,1120,449,37,345,1953,7390,3.284e+05,42.58,8.08,5.799e+06,5.799e+05,16.98,0.8,15.41,0.567,16.12,36.67,35.39,18.76,4975,453.9,1474,161.6,1.821e+07,2.905e+07,1.677,0.9131
15,2,823,1693,35,1,0,0,3.02e+04,11.15,1.358,8.28e+05,8.28e+04,26.36,0.8,17.39,2.277,16.21,11.8,13.98,8.675,2194,268.8,1349,224.7,5.376e+07,1.012e+08,5.912,4.026
16,2,1048,419,42,345,2133,6812,3.076e+05,41,7.183,5.432e+06,5.432e+05,16.98,0.8,11.52,0.399,19.7,41.6,43.08,16.68,5523,537.6,931.9,96.52,5.287e+06,6.177e+06,1.219,0.4947
17,2,1280,1427,20,2,0,0,1.588e+04,11.15,1.997,4.129e+05,4.129e+04,25,0.8,10.15,0.4386,9.337,18.73,12.33,13.05,1072,164.3,864.4,238.7,1.329e+07,4.222e+07,3.56,3.796
18,2,1297,1178,64,2,0,0,1.455e+05,11.15,1.782,3.782e+06,3.782e+05,25,0.8,34.17,1.749,25.55,49.18,54.86,18.74,8966,878,400,40.7,1.568e+07,1.623e+07,19.61,7.266
19,2,1347,1336,67,2,0,0,6.364e+04,11.15,1.77,1.655e+06,1.655e+05,25,0.8,23.34,1.133,15.04,24.71,25.92,7.75,2381,247.9,783.9,82.96,3.034e+07,2.755e+07,9.881,3.26
20,2,656,1628,41,1,315,401,1.302e+05,14.69,2.611,3.569e+06,3.569e+05,26.36,0.8,13.03,0.6434,29.55,19.61,34.95,7.203,6698,645.1,930.2,94.46,8.328e+06,5.281e+06,1.926,0.4805
21,2,626,1655,39,1,290,384,4.629e+04,14.56,3.281,1.269e+06,1.269e+05,26.36,0.8,9.817,0.2423,16.7,12.64,15.74,6.664,2408,346.4,1631,209.7,1.84e+07,2.347e+07,1.384,0.6061
22,2,1215,1327,41,2,0,0,3.091e+04,11.15,2.144,8.036e+05,8.036e+04,25,0.8,12.38,0.6099,21,12.97,20.24,8.765,1596,235.9,624.5,74.21,8.707e+06,1.138e+07,4.468,2.034
23,2,1383,1385,32,2,18,18,3.202e+04,11.33,2.312,8.324e+05,8.324e+04,25,0.8,13.73,0.6637,19.37,28.32,33.75,11.15,2569,337.5,232.6,24.24,2.393e+06,2.394e+06,8.85,3.172
24,2,1282,1095,73,2,45,45,7.109e+04,11.6,2.703,1.848e+06,1.848e+05,25,0.8,13.91,0.5887,18.05,35.49,37.19,9.447,4047,513.7,425.5,43.43,4.08e+06,3.155e+06,4.511,1.289
25,2,606,1719,44,1,780,1629,1.187e+05,22.28,3.479,3.254e+06,3.254e+05,26.36,0.8,14.64,0.601,11.03,35.21,26.77,20.98,4303,406.2,1446,192.4,2.133e+07,5.024e+07,2.042,1.623
26,2,1417,1491,29,2,0,0,4546,11.15,1.45,1.182e+05,1.182e+04,25,0.8,8.178,0.3676,12.18,6.947,nan,7.347,510.6,107.5,nan,nan,nan,nan,nan,nan
27,2,1106,951,38,345,396,447,3.691e+04,15.05,3.856,9.596e+05,9.596e+04,25,0.8,8.042,0.1765,25.16,9.369,17.69,18.17,1790,230,976.4,196.2,6.576e+06,2.028e+07,1.381,1.426
28,2,1040,1267,39,2,0,0,3.471e+04,11.15,1.763,9.026e+05,9.026e+04,25,0.8,16.17,0.6002,27.32,17.68,31.08,12.42,3378,367.3,297.4,31.88,4.609e+06,5.557e+06,10.43,4.366
29,2,1313,1318,66,2,0,0,1.409e+04,11.15,1.453,3.664e+05,3.664e+04,25,0.8,14.65,0.7309,23.4,8.446,14.56,20.23,1750,256.8,549.8,166.6,1.493e+07,6.223e+07,9.885,13.8
30,2,1186,910,58,345,0,0,1.119e+04,11.15,1.617,2.909e+05,2.909e+04,25,0.8,6.689,0.16,11.9,16.29,14.21,7.004,1137,188.1,458.6,66.18,2.66e+06,3.944e+06,2.531,1.279
31,2,509,1904,21,1,81,81,4.809e+04,11.95,2.763,1.319e+06,1.319e+05,26.36,0.8,26.14,2.132,13.81,31.82,29.18,14.48,2613,310.6,493,55.34,2.126e+07,3.191e+07,17.51,9.311
32,2,1316,1547,17,2,0,0,6719,11.15,1.901,1.747e+05,1.747e+04,25,0.8,5.325,0.2249,9.651,16.76,10.83,14.46,653.3,140.4,473.9,181.4,2.285e+06,9.153e+06,2.037,2.731
33,2,1175,903,38,345,0,0,1.225e+04,11.15,1.351,3.186e+05,3.186e+04,25,0.8,3.536,0.09968,20.47,16.17,23.76,7.62,1949,283.7,179.6,19.38,1.741e+05,1.687e+05,1.08,0.3678
34,2,1542,1657,34,1,0,0,1.973e+04,11.15,2.15,5.409e+05,5.409e+04,26.36,0.8,8.025,0.3527,8.545,22.95,14.42,21.56,2553,328.5,827.8,270.4,6.81e+06,3.055e+07,1.989,2.984
