ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
0,1,688,1616,21,1.731e+04,1.332e+05,1.67e+07,470.3,28.35,2.246e+07,2.246e+06,61.52,2.534,116.5,90.4,165.9,48.35,4.107e+04,2365
1,1,688,1616,21,1.552e+04,1.146e+05,1.42e+07,436.2,28.35,1.909e+07,1.909e+06,61.68,2.56,111.9,82.62,155.3,44.12,3.539e+04,1953
2,1,688,1616,21,1.05e+04,7.261e+04,9.748e+06,347.3,28.35,1.311e+07,1.311e+06,59,2.347,27.62,89.06,78.67,32.67,2.341e+04,1266
3,2,649,1699,9,1758,1.023e+04,1.671e+06,130.8,21.97,2.248e+06,2.248e+05,35.37,1.744,18.32,22.15,27.6,8.294,3920,462.9
4,1,759,1669,9,4212,2.602e+04,2.82e+06,208.1,19.08,3.792e+06,3.792e+05,51.58,2.63,53.82,14.57,41.98,6.769,9586,800.4
5,2,641,1759,15,492,2072,2.746e+05,59.69,17.95,3.694e+05,3.694e+04,24.08,1.089,8.366,9.154,nan,1.817,1097,206.1
6,1,1315,1342,39,3.04e+04,1.277e+05,5.323e+07,460.4,27.07,7.158e+07,7.158e+06,128.8,6.239,19.86,29.5,35.19,4.659,2.667e+05,9891
7,1,1315,1342,39,3.039e+04,1.277e+05,4.841e+07,460.4,27.07,6.51e+07,6.51e+06,128.5,6.16,19.45,29.44,34.68,9.87,2.384e+05,9300
8,1,1315,1342,39,3.035e+04,1.276e+05,4.768e+07,460.4,27.07,6.413e+07,6.413e+06,128.5,6.145,19.42,29.49,34.69,10.06,2.329e+05,8962
9,1,1315,1342,39,3.039e+04,1.277e+05,4.881e+07,460.4,27.07,6.564e+07,6.564e+06,128.3,6.117,19.49,29.47,34.75,10.5,2.4e+05,9180
10,1,1315,1342,39,3.04e+04,1.277e+05,5.021e+07,460.4,27.07,6.752e+07,6.752e+06,128.4,6.146,19.7,29.47,34.99,6.457,2.527e+05,1.025e+04
11,1,1315,1342,39,3.037e+04,1.277e+05,4.799e+07,460.4,27.07,6.453e+07,6.453e+06,128.5,6.151,19.45,29.5,34.73,10.07,2.355e+05,9150
12,1,1315,1342,39,3.011e+04,1.273e+05,4.385e+07,459.8,27.07,5.897e+07,5.897e+06,126.4,6.023,19.15,29.3,34.24,9.555,2.143e+05,8688
13,1,1315,1342,39,3.011e+04,1.273e+05,4.225e+07,459.7,27.07,5.682e+07,5.682e+06,126.1,5.966,19.01,29.14,33.96,11.61,2.087e+05,8941
14,1,1315,1342,39,3.011e+04,1.273e+05,3.967e+07,459.7,27.07,5.334e+07,5.334e+06,125.8,5.921,19,29.34,34.1,3.523,1.981e+05,9351
15,1,1121,1362,31,2.18e+04,7.97e+04,2.522e+07,363.9,15.79,3.391e+07,3.391e+06,80.92,3.505,146.7,60.25,151.8,83.55,1.393e+05,6400
16,1,1121,1362,31,2.18e+04,7.97e+04,2.446e+07,363.9,15.79,3.289e+07,3.289e+06,68.2,2.849,146.8,60.13,151.7,84.2,1.328e+05,5901
17,1,1121,1362,31,2.18e+04,7.97e+04,2.362e+07,363.9,15.79,3.176e+07,3.176e+06,68.31,2.867,146,60.17,151.3,79.78,1.288e+05,6003
18,1,1315,1342,39,3.011e+04,1.273e+05,3.896e+07,459.7,27.07,5.239e+07,5.239e+06,125.6,5.884,18.98,29.28,34.04,4.613,1.954e+05,9455
19,1,1315,1342,39,3.011e+04,1.273e+05,3.976e+07,459.7,27.07,5.347e+07,5.347e+06,125.6,5.885,19,29.35,34.11,3.649,1.983e+05,9333
20,2,759,1669,9,1939,7354,9.804e+05,111,19.08,1.319e+06,1.319e+05,22.52,1.063,21.36,15.37,23.61,7.101,4323,400.2
21,1,1121,1362,31,2.18e+04,7.97e+04,2.23e+07,363.9,15.79,2.999e+07,2.999e+06,66.63,2.849,146.3,59.68,150.8,69.5,1.215e+05,5737
22,1,1121,1362,31,2.143e+04,7.914e+04,2.132e+07,362.6,15.79,2.867e+07,2.867e+06,66.63,2.847,147,60.73,152.6,44.62,1.131e+05,5005
23,1,1121,1362,31,2.132e+04,7.902e+04,1.948e+07,362.3,15.79,2.62e+07,2.62e+06,66.65,2.849,148.6,61.4,154.3,34.78,1.026e+05,4521
24,1,1121,1362,31,2.093e+04,7.794e+04,1.812e+07,359.8,15.79,2.436e+07,2.436e+06,65.08,2.816,148.1,59.85,152,39.61,9.613e+04,4339
25,1,1121,1362,31,2.071e+04,7.771e+04,1.686e+07,359.3,15.79,2.268e+07,2.268e+06,64.9,2.784,149,60.13,152.9,56.76,8.686e+04,3751
26,1,1121,1362,31,2.143e+04,7.914e+04,2.15e+07,362.6,15.79,2.892e+07,2.892e+06,66.61,2.844,147.5,59.83,151.7,70.28,1.142e+05,5053
27,1,1121,1362,31,2.075e+04,7.776e+04,1.722e+07,359.4,15.79,2.315e+07,2.315e+06,64.92,2.788,148.5,59.96,152.4,60.8,8.892e+04,3867
28,1,1121,1362,31,2.093e+04,7.794e+04,1.874e+07,359.8,15.79,2.521e+07,2.521e+06,65.1,2.815,148.4,61.1,153.8,35.2,9.862e+04,4318
29,1,1121,1362,31,2.075e+04,7.776e+04,1.735e+07,359.4,15.79,2.333e+07,2.333e+06,64.92,2.788,148.3,59.8,152.1,54.31,9.021e+04,3951
30,1,1121,1362,31,2.067e+04,7.766e+04,1.308e+07,359.2,15.79,1.759e+07,1.759e+06,61.39,2.639,152.2,60.02,154.4,81.79,7.151e+04,3817
31,1,1121,1362,31,2.069e+04,7.769e+04,1.313e+07,359.2,15.79,1.766e+07,1.766e+06,61.39,2.641,152,60.1,154.4,85.38,7.211e+04,3936
32,1,1285,1481,20,5180,1.651e+04,2.686e+06,165.9,12.8,3.612e+06,3.612e+05,43.58,1.8,30.16,35.21,49.96,19.43,1.858e+04,1535
33,2,1339,1598,15,0,0,7.423e+04,11.15,5.834,9.982e+04,9982,15.26,0.6629,8.063,13.1,nan,14.21,1583,253.8
34,2,688,1616,21,5936,3.037e+04,4.681e+06,224.8,28.35,6.295e+06,6.295e+05,32.78,1.248,20.14,45.41,45.89,23.42,1.324e+04,976.6
35,2,1305,1424,11,0,0,2.699e+04,11.15,5.694,3.629e+04,3629,6.604,0.2319,9.567,8.936,nan,2.531,1204,286.7
36,1,1285,1481,20,4968,1.617e+04,2.064e+06,164.2,12.8,2.776e+06,2.776e+05,40.33,1.687,18.8,40.01,40.96,8.831,1.45e+04,1284
37,1,1285,1481,20,2156,9145,1.069e+06,123.7,12.8,1.437e+06,1.437e+05,40.26,1.711,17.74,39.03,38.99,11.76,5764,522.6
38,2,1313,1550,13,113,113,1.104e+05,17.66,7.157,1.485e+05,1.485e+04,10.05,0.3994,14.97,19.77,21.71,6.943,2076,235.9
39,1,1285,1481,20,2130,8686,9.182e+05,120.6,12.8,1.235e+06,1.235e+05,30.03,1.222,17.3,35.7,36.35,20.71,5329,510.7
40,2,1242,1412,15,0,0,3.982e+04,11.15,5.903,5.356e+04,5356,10.28,0.4355,19.66,5.751,nan,68.25,747,149.3
41,2,812,1686,25,712,4623,5.808e+05,88.3,16.94,7.811e+05,7.811e+04,31.75,1.278,12.56,11.16,7.75,3.358,1588,221
42,2,1356,1467,15,63,63,4.644e+04,15.13,8.556,6.245e+04,6245,10.17,0.4858,12.32,9.702,2.355,20.21,867.4,155.3
43,2,1278,1439,17,267,542,5.213e+04,32,10.47,7.011e+04,7011,8.658,0.3797,7.179,12.44,nan,5.995,595.3,125.4
44,2,1396,1485,18,0,0,6.948e+04,11.15,6.172,9.344e+04,9344,10.47,0.4793,20.63,13.3,20.36,11.32,1514,262.8
45,2,1285,1481,20,1154,4094,4.268e+05,83.18,12.8,5.74e+05,5.74e+04,18.78,0.8088,15.74,30.39,30.87,9.801,2573,319.6
46,2,1233,1600,19,238,315,3.491e+05,25.44,7.472,4.694e+05,4.694e+04,18.45,0.7533,18.64,22.28,28.05,9.18,5202,594.3
47,2,1347,1396,17,0,0,3.462e+04,11.15,5.494,4.656e+04,4656,5.097,0.1871,10.94,21.28,17.47,14.18,1242,209.1
48,1,1121,1362,31,1.548e+04,6.112e+04,9.667e+06,318.7,15.79,1.3e+07,1.3e+06,46.06,2.014,46.98,102.3,111.3,49,5.046e+04,2518
49,1,1121,1362,31,1.527e+04,6.085e+04,9.155e+06,318,15.79,1.231e+07,1.231e+06,46.03,2.006,46.6,99.74,109.4,45.75,4.807e+04,2407
50,1,1121,1362,31,1.533e+04,6.096e+04,9.286e+06,318.2,15.79,1.249e+07,1.249e+06,46.03,2.008,46.69,100.2,109.8,45.07,4.889e+04,2521
51,1,1121,1362,31,1.524e+04,6.072e+04,8.06e+06,317.6,15.79,1.084e+07,1.084e+06,44.57,1.989,46.23,99.07,108.6,47.63,4.486e+04,2589
52,1,1121,1362,31,1.493e+04,6.025e+04,6.639e+06,316.4,15.79,8.928e+06,8.928e+05,44.57,1.988,39.22,86.74,93.17,37.34,3.895e+04,2530
53,1,1121,1362,31,1.387e+04,5.868e+04,5.932e+06,312.2,15.79,7.978e+06,7.978e+05,44.48,1.97,36.31,88.59,90.5,48.48,3.372e+04,2120
54,1,1121,1362,31,1.332e+04,5.725e+04,5.387e+06,308.4,15.79,7.244e+06,7.244e+05,42.9,1.916,36.25,86.93,89.53,48.32,3.097e+04,2019
55,2,1220,1496,22,332,650,5.109e+04,34.68,8.839,6.87e+04,6870,14.23,0.714,4.469,14.24,nan,4.114,747,170.2
56,1,1121,1362,31,1.287e+04,5.529e+04,4.98e+06,303.1,15.79,6.698e+06,6.698e+05,41.32,1.881,37.77,85.79,90.84,46.36,2.925e+04,2049
57,2,1246,1547,21,181,183,2.388e+05,20.69,7.595,3.212e+05,3.212e+04,12.16,0.5563,15.76,38.1,35.72,12.82,4098,462.9
58,1,1121,1362,31,1.136e+04,4.48e+04,4.085e+06,272.9,15.79,5.493e+06,5.493e+05,38.15,1.789,36.82,85.05,89.25,45.25,2.533e+04,2246
59,1,1121,1362,31,6408,2.5e+04,2.312e+06,204,15.79,3.11e+06,3.11e+05,37.97,1.749,45.81,37.83,65.34,19.97,1.429e+04,1174
60,1,1164,1430,26,3817,1.544e+04,1.431e+06,160.4,13.81,1.925e+06,1.925e+05,31.42,1.517,33.8,14.74,31.72,13.01,8511,1000
61,2,1164,1430,26,2429,1.038e+04,1.017e+06,131.7,13.81,1.368e+06,1.368e+05,24.13,1.091,33.04,13.93,30.1,18.44,5416,630.1
62,1,1164,1430,26,4499,1.686e+04,1.546e+06,167.6,13.81,2.079e+06,2.079e+05,31.47,1.526,33.33,14.87,31.61,16.52,1.003e+04,1245
63,1,1121,1362,31,4724,1.686e+04,1.649e+06,167.7,15.79,2.217e+06,2.217e+05,31.39,1.493,45.16,34.53,61.73,16.99,1.053e+04,931.8
64,2,1125,1325,21,292,838,8.007e+04,38.92,10.92,1.077e+05,1.077e+04,12.31,0.5897,8.147,10.87,nan,4.751,651.1,155.3
65,2,1415,1490,25,20,20,1.169e+05,12.55,6.821,1.573e+05,1.573e+04,16.7,0.6972,17.98,10.42,13.6,10.46,1652,224
66,1,1315,1342,39,8309,4.755e+04,1.362e+07,281.1,27.07,1.832e+07,1.832e+06,87.65,3.791,18.9,29.25,33.91,5.711,5.589e+04,3261
67,1,1315,1342,39,8309,4.755e+04,1.317e+07,281.1,27.07,1.772e+07,1.772e+06,87.47,3.803,18.84,29.16,33.78,3.574,5.399e+04,3327
68,2,1341,1371,23,51,84,5.536e+04,16.24,7.438,7.444e+04,7444,9.808,0.3509,13.69,9.17,4.626,16.28,858.4,149.3
69,2,1185,1511,22,63,101,3.343e+04,17.09,7.621,4.496e+04,4496,8.699,0.3856,9.83,7.209,nan,2.585,528.4,125.4
70,2,1250,1461,25,462,587,5.007e+04,33.14,9.246,6.733e+04,6733,8.802,0.4116,18.65,5.933,nan,27.73,1030,206.1
71,2,1323,1492,24,203,330,5.095e+04,25.92,8.592,6.852e+04,6852,5.356,0.2408,9.608,15.68,9.367,11.02,849.5,164.3
72,2,1366,1520,24,41,41,5.758e+04,13.87,7.08,7.743e+04,7743,8.545,0.3547,11.26,15.34,12.09,9.374,1224,188.1
